,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Podania celne_home,Podania celne_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,Rzuty wolne_home,Rzuty wolne_away,Wrzuty z autu_home,Wrzuty z autu_away,Podania_home,Podania_away,goals_home,goals_away
0,2019-2020,37,19.07.2020 17:30,Lech Poznań,Jagiellonia Białystok,56%,44%,20,4,8,0,12,4,8,2,2,2,0,4,8,12,501,393,97,63,86,37,,,,,,,,,,,4,0
1,2019-2020,37,19.07.2020 17:30,Legia Warszawa,Pogoń Szczecin,46%,54%,8,8,3,5,5,3,2,4,2,1,3,2,10,8,350,438,105,96,52,77,2,3,,,,,,,,,1,2
2,2019-2020,37,19.07.2020 17:30,Piast Gliwice,Cracovia,51%,49%,16,11,2,5,14,6,8,7,0,0,4,1,10,11,359,379,87,87,90,73,0,3,,,,,,,,,1,1
3,2019-2020,37,19.07.2020 17:30,Śląsk Wrocław,Lechia Gdańsk,56%,44%,17,8,3,2,14,6,5,6,2,1,0,2,10,12,389,308,136,99,74,53,1,2,,,,,,,,,1,2
4,2019-2020,37,18.07.2020 17:30,Górnik Zabrze,Zagłębie Lubin,52%,48%,15,18,7,6,8,12,4,3,1,3,4,7,14,9,347,329,106,95,81,76,1,1,,,,,,,,,0,2
5,2019-2020,37,18.07.2020 17:30,Korona Kielce,ŁKS Łódź,42%,58%,16,12,6,2,10,10,4,9,2,3,2,4,21,11,335,416,74,85,63,72,3,1,,,,,,,,,2,0
6,2019-2020,37,18.07.2020 17:30,Raków Częstochowa,Wisła Płock,51%,49%,12,5,3,2,9,3,4,4,2,0,1,1,14,17,317,298,94,69,85,44,3,5,,,,,,,,,2,1
7,2019-2020,37,18.07.2020 17:30,Wisła Kraków,Arka Gdynia,55%,45%,24,8,7,3,17,5,13,2,2,1,2,7,18,13,363,286,95,79,98,44,1,1,,,,,,,,,0,1
8,2019-2020,36,15.07.2020 20:30,Cracovia,Lech Poznań,48%,52%,11,14,2,8,9,6,1,10,0,2,6,1,17,15,313,391,83,87,56,95,1,3,,,,,,,,,1,2
9,2019-2020,36,15.07.2020 20:30,Jagiellonia Białystok,Śląsk Wrocław,53%,47%,17,14,8,6,9,8,6,4,2,2,5,6,14,13,394,329,102,93,81,61,1,3,0,1,,,,,,,2,1
10,2019-2020,36,15.07.2020 20:30,Lechia Gdańsk,Legia Warszawa,60%,40%,5,12,2,2,3,10,4,5,3,2,2,2,10,13,498,294,123,81,78,69,1,2,,,,,,,,,0,0
11,2019-2020,36,15.07.2020 20:30,Pogoń Szczecin,Piast Gliwice,45%,55%,11,16,5,5,6,11,4,6,0,0,5,4,15,14,328,430,84,118,57,82,3,2,,,,,,,,,1,0
12,2019-2020,36,14.07.2020 20:30,Arka Gdynia,Górnik Zabrze,51%,49%,14,12,6,4,8,8,12,4,5,4,2,5,11,12,353,306,89,99,96,77,1,2,0,1,,,,,,,1,2
13,2019-2020,36,14.07.2020 20:30,ŁKS Łódź,Raków Częstochowa,63%,37%,17,9,6,1,11,8,5,9,1,1,0,3,15,22,482,260,142,123,100,70,,,,,,,,,,,3,2
14,2019-2020,36,14.07.2020 20:30,Wisła Płock,Korona Kielce,59%,41%,10,11,4,3,6,8,2,3,2,0,2,1,19,17,444,281,102,95,45,51,,,,,,,,,,,3,1
15,2019-2020,36,14.07.2020 20:30,Zagłębie Lubin,Wisła Kraków,60%,40%,22,7,9,4,13,3,6,2,1,2,3,6,17,5,501,316,122,95,98,54,,,,,,,,,,,3,1
16,2019-2020,35,12.07.2020 17:30,Lech Poznań,Lechia Gdańsk,53%,47%,18,17,7,6,11,11,4,5,1,5,4,4,9,10,397,336,91,84,69,54,2,1,0,1,,,,,,,3,2
17,2019-2020,35,12.07.2020 15:00,Piast Gliwice,Jagiellonia Białystok,40%,60%,11,19,6,5,5,14,3,8,1,5,5,4,9,7,294,501,82,97,59,99,2,3,1,0,,,,,,,2,0
18,2019-2020,35,12.07.2020 12:30,Śląsk Wrocław,Pogoń Szczecin,46%,54%,11,17,6,5,5,12,4,3,0,1,3,4,11,13,321,377,104,101,58,78,1,2,,,,,,,,,2,2
19,2019-2020,35,11.07.2020 20:00,Wisła Kraków,Korona Kielce,41%,59%,6,17,4,6,2,11,5,8,3,0,5,3,17,15,247,435,85,122,64,88,6,2,1,0,,,,,,,1,1
20,2019-2020,35,11.07.2020 17:30,Legia Warszawa,Cracovia,49%,51%,17,7,7,1,10,6,8,5,1,0,1,5,22,14,317,330,60,51,78,41,4,2,,,,,,,,,2,0
21,2019-2020,35,11.07.2020 15:00,Arka Gdynia,ŁKS Łódź,40%,60%,18,14,9,5,9,9,6,5,1,1,3,6,20,13,283,473,88,97,68,74,1,2,,,,,,,,,3,2
22,2019-2020,35,10.07.2020 20:30,Górnik Zabrze,Raków Częstochowa,57%,43%,16,19,9,4,7,15,5,9,2,2,3,5,7,13,412,285,124,71,79,69,3,0,,,,,,,,,4,1
23,2019-2020,35,10.07.2020 18:00,Zagłębie Lubin,Wisła Płock,50%,50%,11,14,3,3,8,11,3,4,2,2,2,3,18,14,357,345,86,98,79,80,4,2,1,0,,,,,,,0,1
24,2019-2020,34,06.07.2020 18:00,Wisła Płock,Górnik Zabrze,55%,45%,8,8,3,3,5,5,2,3,4,3,3,2,13,17,430,317,98,103,48,67,3,2,,,,,,,,,1,0
25,2019-2020,34,05.07.2020 17:30,Piast Gliwice,Śląsk Wrocław,49%,51%,18,20,7,7,11,13,4,10,1,3,7,6,11,14,328,356,100,84,78,73,0,1,,,,,,,,,1,0
26,2019-2020,34,05.07.2020 15:00,Pogoń Szczecin,Jagiellonia Białystok,39%,61%,8,29,4,9,4,20,5,11,5,1,7,2,9,15,196,500,76,97,54,110,4,3,1,0,,,,,,,2,2
27,2019-2020,34,04.07.2020 20:00,Lechia Gdańsk,Cracovia,61%,39%,9,15,2,5,7,10,5,7,1,0,3,2,15,11,424,267,90,76,75,67,2,2,,,,,,,,,0,3
28,2019-2020,34,04.07.2020 17:30,Lech Poznań,Legia Warszawa,54%,46%,10,8,5,2,5,6,5,5,1,0,1,3,16,19,402,346,111,111,57,52,2,1,,,,,,,,,2,1
29,2019-2020,34,04.07.2020 15:00,Raków Częstochowa,Zagłębie Lubin,52%,48%,9,17,3,7,6,10,3,8,1,2,5,2,16,12,,,80,89,66,87,,,,,14,17,23,21,,,1,2
30,2019-2020,34,03.07.2020 20:30,Korona Kielce,Arka Gdynia,61%,39%,20,7,5,2,15,5,9,3,2,0,1,4,15,21,446,211,116,70,102,56,5,5,,,,,,,,,1,1
31,2019-2020,34,03.07.2020 18:00,ŁKS Łódź,Wisła Kraków,55%,45%,14,14,5,6,9,8,3,8,0,1,4,4,17,25,349,339,119,123,77,88,2,4,,,,,,,,,1,2
32,2019-2020,33,29.06.2020 18:00,Cracovia,Pogoń Szczecin,37%,63%,8,12,3,1,5,11,7,7,1,1,0,1,20,14,231,453,71,109,57,71,2,1,,,,,,,,,2,1
33,2019-2020,33,28.06.2020 17:30,Śląsk Wrocław,Lech Poznań,51%,49%,16,7,6,5,10,2,7,5,1,1,3,4,13,11,303,267,105,103,73,65,2,2,,,,,,,,,2,2
34,2019-2020,33,28.06.2020 15:00,Jagiellonia Białystok,Lechia Gdańsk,58%,42%,19,12,7,4,12,8,7,4,1,5,2,6,12,15,448,271,93,100,73,65,1,0,,,,,,,,,1,2
35,2019-2020,33,27.06.2020 20:00,Górnik Zabrze,Wisła Kraków,57%,43%,14,9,2,3,12,6,9,5,0,3,2,2,11,9,372,286,116,94,95,65,1,0,,,,,,,,,0,1
36,2019-2020,33,27.06.2020 17:30,Legia Warszawa,Piast Gliwice,58%,42%,13,5,4,1,9,4,3,4,0,0,0,3,18,8,491,312,126,101,82,40,3,2,0,1,,,,,,,1,1
37,2019-2020,33,27.06.2020 15:00,Wisła Płock,ŁKS Łódź,45%,55%,11,10,6,4,5,6,7,4,1,0,4,4,21,22,293,428,94,92,68,48,2,3,,,,,,,,,2,0
38,2019-2020,33,26.06.2020 20:30,Zagłębie Lubin,Korona Kielce,56%,44%,16,11,11,5,5,6,5,6,1,0,4,9,20,11,415,352,116,119,82,68,0,2,,,,,,,,,2,1
39,2019-2020,33,26.06.2020 18:00,Raków Częstochowa,Arka Gdynia,51%,49%,17,13,10,4,7,9,9,4,1,0,2,7,14,14,365,350,97,101,68,59,3,3,,,,,,,,,3,2
40,2019-2020,32,25.06.2020 19:00,Śląsk Wrocław,Cracovia,51%,49%,16,17,7,5,9,12,3,7,1,0,3,4,18,15,279,320,97,92,55,55,3,2,,,,,,,,,3,2
41,2019-2020,32,24.06.2020 20:30,Jagiellonia Białystok,Legia Warszawa,58%,42%,13,8,3,1,10,7,9,5,1,5,1,3,13,17,471,312,103,88,70,60,4,2,,,,,,,,,0,0
42,2019-2020,32,24.06.2020 20:30,Lech Poznań,Pogoń Szczecin,62%,38%,10,7,1,0,9,7,5,3,3,1,0,1,15,15,554,305,107,80,75,42,3,3,,,,,,,,,0,0
43,2019-2020,32,24.06.2020 18:00,Lechia Gdańsk,Piast Gliwice,50%,50%,12,12,4,4,8,8,9,3,2,0,4,3,19,9,407,366,95,84,94,77,3,1,,,,,,,,,1,0
44,2019-2020,32,23.06.2020 20:30,ŁKS Łódź,Górnik Zabrze,59%,41%,10,9,2,6,8,3,6,3,2,0,3,1,25,15,449,303,135,108,74,58,4,1,1,0,,,,,,,1,3
45,2019-2020,32,23.06.2020 20:30,Wisła Kraków,Wisła Płock,52%,48%,14,8,4,2,10,6,5,5,1,0,2,3,21,10,352,339,112,96,74,48,2,1,,,,,,,,,1,0
46,2019-2020,32,23.06.2020 18:00,Arka Gdynia,Zagłębie Lubin,36%,64%,9,15,5,2,4,13,3,10,2,1,1,2,24,13,189,534,66,97,53,92,4,4,0,1,,,,,,,3,2
47,2019-2020,32,23.06.2020 18:00,Korona Kielce,Raków Częstochowa,66%,34%,19,5,6,3,13,2,4,3,3,3,2,6,23,26,467,213,138,74,103,50,2,6,,,,,,,,,0,1
48,2019-2020,31,21.06.2020 17:30,Legia Warszawa,Śląsk Wrocław,43%,57%,15,8,7,0,8,8,4,6,1,1,0,5,19,13,261,384,71,96,50,56,3,4,0,1,,,,,,,2,0
49,2019-2020,31,21.06.2020 15:00,Cracovia,Jagiellonia Białystok,61%,39%,19,6,1,4,18,2,11,3,2,1,2,0,16,17,436,260,125,83,96,40,3,2,,,,,,,,,1,2
50,2019-2020,31,21.06.2020 12:30,Pogoń Szczecin,Lechia Gdańsk,65%,35%,26,8,7,4,19,4,7,1,1,2,3,7,9,18,512,242,93,67,73,22,3,3,,,,,,,,,0,1
51,2019-2020,31,20.06.2020 20:00,Raków Częstochowa,Wisła Kraków,44%,56%,14,9,4,3,10,6,5,6,0,1,2,1,12,5,309,436,73,88,60,61,2,2,0,1,,,,,,,3,1
52,2019-2020,31,20.06.2020 17:30,Piast Gliwice,Lech Poznań,63%,37%,19,5,6,2,13,3,5,4,3,0,0,6,10,13,592,281,113,70,91,40,2,6,0,1,,,,,,,0,2
53,2019-2020,31,20.06.2020 15:00,Wisła Płock,Arka Gdynia,46%,54%,11,12,4,3,7,9,9,3,2,0,3,4,13,32,339,321,105,100,65,64,2,3,,,,,,,,,0,0
54,2019-2020,31,19.06.2020 20:30,Górnik Zabrze,Korona Kielce,48%,52%,19,12,7,4,12,8,8,6,1,1,2,4,14,18,304,351,103,86,85,67,2,4,1,1,,,,,,,3,2
55,2019-2020,31,19.06.2020 18:00,Zagłębie Lubin,ŁKS Łódź,54%,46%,20,9,8,3,12,6,7,2,5,0,3,7,22,16,483,377,129,93,101,51,4,4,0,1,,,,,,,1,0
56,2019-2020,30,14.06.2020 18:00,Arka Gdynia,Wisła Kraków,40%,60%,8,16,2,6,6,10,2,5,2,1,6,2,16,20,249,464,83,86,67,81,2,2,,,,,,,,,0,0
57,2019-2020,30,14.06.2020 18:00,Cracovia,Wisła Płock,61%,39%,16,19,4,5,12,14,4,7,1,0,4,3,12,13,,,94,75,42,22,1,1,,,,,,,,,1,1
58,2019-2020,30,14.06.2020 18:00,Górnik Zabrze,Legia Warszawa,42%,58%,8,30,5,10,3,20,4,13,0,2,10,3,15,12,318,448,102,118,73,120,,,,,,,,,,,2,0
59,2019-2020,30,14.06.2020 18:00,Jagiellonia Białystok,Piast Gliwice,55%,45%,17,11,5,5,12,6,3,4,2,2,3,5,16,14,544,318,92,69,56,50,4,1,1,0,,,,,,,0,2
60,2019-2020,30,14.06.2020 18:00,Korona Kielce,Lech Poznań,48%,52%,18,13,3,6,15,7,10,2,3,0,3,3,20,11,378,446,69,76,58,45,4,1,,,,,,,,,0,3
61,2019-2020,30,14.06.2020 18:00,Pogoń Szczecin,Lechia Gdańsk,41%,59%,9,8,3,3,6,5,4,2,0,3,2,2,21,10,0,0,73,103,49,56,5,1,,,,,,,,,1,1
62,2019-2020,30,14.06.2020 18:00,Raków Częstochowa,Zagłębie Lubin,44%,56%,11,10,3,3,8,7,7,4,1,1,2,1,11,16,,,92,136,69,76,2,0,,,,,,,,,2,1
63,2019-2020,30,14.06.2020 18:00,Śląsk Wrocław,ŁKS Łódź,46%,54%,10,13,6,3,4,10,8,4,1,0,3,2,18,14,,,96,117,56,55,0,2,,,,,,,,,4,0
64,2019-2020,29,10.06.2020 20:30,Legia Warszawa,Arka Gdynia,62%,38%,29,3,8,1,21,2,6,1,1,2,0,3,14,16,510,306,94,85,106,43,0,1,,,,,,,,,5,1
65,2019-2020,29,10.06.2020 20:30,ŁKS Łódź,Jagiellonia Białystok,68%,32%,13,11,4,4,9,7,9,1,3,2,1,4,17,11,590,226,112,77,92,42,3,4,,,,,,,,,0,3
66,2019-2020,29,10.06.2020 18:00,Wisła Kraków,Raków Częstochowa,49%,51%,8,14,5,5,3,9,2,3,0,1,3,2,24,17,398,359,93,87,41,69,4,2,,,,,,,,,3,2
67,2019-2020,29,10.06.2020 18:00,Wisła Płock,Śląsk Wrocław,32%,68%,11,9,4,5,7,4,6,7,1,1,3,3,8,20,210,480,80,93,59,56,0,1,,,,,,,,,1,2
68,2019-2020,29,09.06.2020 20:30,Lech Poznań,Pogoń Szczecin,62%,38%,11,7,7,2,4,5,1,4,3,3,2,3,13,16,629,365,114,94,40,50,0,1,,,,,,,,,4,0
69,2019-2020,29,09.06.2020 20:30,Zagłębie Lubin,Korona Kielce,58%,42%,15,12,5,3,10,9,6,5,1,2,2,4,13,17,458,319,114,97,84,55,1,3,,,,,,,,,1,1
70,2019-2020,29,09.06.2020 18:00,Lechia Gdańsk,Cracovia,56%,44%,10,13,1,6,9,7,6,4,0,1,4,0,14,15,400,260,99,88,90,78,2,1,,,,,,,,,1,3
71,2019-2020,29,09.06.2020 18:00,Piast Gliwice,Górnik Zabrze,59%,41%,12,8,6,0,6,8,8,1,0,1,0,6,13,17,498,298,110,107,98,60,0,2,,,,,,,,,0,0
72,2019-2020,28,07.06.2020 17:30,Wisła Kraków,Legia Warszawa,44%,56%,11,21,5,7,6,14,4,8,0,2,4,4,11,14,328,425,96,107,49,97,1,2,,,,,,,,,1,3
73,2019-2020,28,07.06.2020 15:00,Arka Gdynia,Śląsk Wrocław,51%,49%,14,12,7,3,7,9,8,3,0,1,2,5,16,14,429,402,94,91,86,55,2,2,,,,,,,,,2,1
74,2019-2020,28,07.06.2020 12:30,Raków Częstochowa,ŁKS Łódź,44%,56%,18,13,5,3,13,10,6,4,2,0,2,4,21,22,254,400,117,117,90,73,2,2,,,,,,,,,1,1
75,2019-2020,28,06.06.2020 20:00,Pogoń Szczecin,Cracovia,43%,57%,12,14,3,4,9,10,6,10,1,1,4,2,15,16,262,376,84,96,58,74,2,3,0,1,,,,,,,1,0
76,2019-2020,28,06.06.2020 17:30,Zagłębie Lubin,Lech Poznań,44%,56%,10,20,7,9,3,11,3,7,0,2,6,4,10,13,406,516,75,117,43,106,2,1,,,,,,,,,3,3
77,2019-2020,28,06.06.2020 15:00,Jagiellonia Białystok,Wisła Płock,66%,34%,18,15,6,7,12,8,8,2,0,6,5,4,15,22,540,221,151,91,93,47,0,1,,,,,,,,,2,2
78,2019-2020,28,05.06.2020 20:30,Górnik Zabrze,Lechia Gdańsk,41%,59%,14,16,6,8,8,8,7,7,1,0,6,4,14,12,288,466,100,100,76,95,3,1,,,,,,,,,2,2
79,2019-2020,28,05.06.2020 18:00,Korona Kielce,Piast Gliwice,34%,66%,12,19,4,7,8,12,5,4,1,3,5,3,11,13,240,554,77,96,47,81,3,1,1,0,,,,,,,1,2
80,2019-2020,27,31.05.2020 17:30,Lechia Gdańsk,Arka Gdynia,60%,40%,20,15,7,7,13,8,6,2,1,1,4,3,15,13,474,272,96,86,79,59,3,2,,,,,,,,,4,3
81,2019-2020,27,31.05.2020 15:00,Cracovia,Jagiellonia Białystok,46%,54%,8,14,5,3,3,11,4,5,3,1,2,5,17,21,353,392,86,97,51,60,1,3,,,,,,,,,0,1
82,2019-2020,27,31.05.2020 12:30,Wisła Płock,Korona Kielce,55%,45%,10,11,6,6,4,5,3,6,0,2,2,5,15,19,381,274,132,134,81,91,1,2,,,,,,,,,1,4
83,2019-2020,27,30.05.2020 20:00,Lech Poznań,Legia Warszawa,61%,39%,14,14,3,5,11,9,4,4,1,5,4,3,13,24,541,231,111,78,67,43,4,2,,,,,,,,,0,1
84,2019-2020,27,30.05.2020 17:30,Piast Gliwice,Wisła Kraków,49%,51%,13,6,4,1,9,5,3,4,0,5,1,0,14,16,365,411,95,116,66,87,2,6,0,1,,,,,,,4,0
85,2019-2020,27,30.05.2020 15:00,ŁKS Łódź,Górnik Zabrze,63%,37%,13,11,3,5,10,6,6,8,1,1,4,3,16,16,510,225,168,110,92,76,1,1,,,,,,,,,0,1
86,2019-2020,27,29.05.2020 20:30,Pogoń Szczecin,Zagłębie Lubin,56%,44%,24,15,5,6,19,9,10,3,0,3,3,5,9,18,406,315,88,70,85,42,0,4,,,,,,,,,0,3
87,2019-2020,27,29.05.2020 18:00,Śląsk Wrocław,Raków Częstochowa,54%,46%,12,9,4,4,8,5,3,6,0,0,3,3,10,19,83,44,85,86,42,59,0,2,,,,,,,,,1,1
88,2019-2020,26,09.03.2020 18:00,Korona Kielce,ŁKS Łódź,42%,58%,12,14,6,1,6,13,6,4,1,0,1,5,21,14,280,414,83,108,91,71,1,1,,,,,,,,,1,0
89,2019-2020,26,08.03.2020 17:30,Legia Warszawa,Piast Gliwice,46%,54%,12,6,5,2,7,4,5,4,1,1,0,4,13,10,281,498,104,113,63,65,2,2,1,0,,,,,,,1,2
90,2019-2020,26,08.03.2020 15:00,Wisła Kraków,Lech Poznań,48%,52%,9,17,3,4,6,13,4,8,0,1,3,2,18,10,,,84,98,53,80,2,1,,,,,,,,,1,1
91,2019-2020,26,08.03.2020 12:30,Raków Częstochowa,Pogoń Szczecin,56%,44%,14,7,3,3,11,4,4,6,3,1,3,3,16,19,421,328,138,128,92,82,1,2,,,,,,,,,0,0
92,2019-2020,26,07.03.2020 20:00,Jagiellonia Białystok,Śląsk Wrocław,49%,51%,10,7,3,2,7,5,4,4,1,5,2,2,17,12,385,358,110,124,68,63,3,1,,,,,,,,,1,0
93,2019-2020,26,07.03.2020 17:30,Zagłębie Lubin,Lechia Gdańsk,59%,41%,29,13,9,6,20,7,9,5,2,2,2,5,11,20,444,247,104,79,111,60,4,3,,,,,,,,,4,4
94,2019-2020,26,07.03.2020 15:00,Arka Gdynia,Wisła Płock,55%,45%,11,15,3,8,8,7,5,6,3,1,6,2,18,14,342,285,87,75,84,75,2,3,1,0,,,,,,,1,2
95,2019-2020,26,06.03.2020 20:30,Górnik Zabrze,Cracovia,46%,54%,13,12,8,6,5,6,5,6,1,2,4,5,15,12,262,386,119,99,86,77,5,3,,,,,,,,,3,2
96,2019-2020,25,04.03.2020 20:30,Lechia Gdańsk,Legia Warszawa,42%,58%,2,21,0,7,2,14,3,3,1,2,5,0,8,17,326,447,55,77,28,49,2,4,,,,,,,,,0,2
97,2019-2020,25,04.03.2020 20:30,Piast Gliwice,Arka Gdynia,53%,47%,19,8,8,2,11,6,15,1,1,1,2,7,10,18,362,364,92,66,58,34,0,2,,,,,,,,,1,0
98,2019-2020,25,04.03.2020 18:00,ŁKS Łódź,Zagłębie Lubin,42%,58%,18,15,6,8,12,7,2,5,1,2,6,3,14,17,314,437,112,126,80,78,3,2,,,,,,,,,3,2
99,2019-2020,25,04.03.2020 18:00,Śląsk Wrocław,Korona Kielce,46%,54%,9,9,5,5,4,4,4,6,0,2,4,3,14,17,313,426,129,110,74,57,1,4,,,,,,,,,2,1
100,2019-2020,25,03.03.2020 20:30,Cracovia,Wisła Kraków,56%,44%,13,12,3,5,10,7,9,8,2,6,3,3,13,24,332,228,100,76,67,60,6,3,,,,,,,,,0,2
101,2019-2020,25,03.03.2020 20:30,Pogoń Szczecin,Jagiellonia Białystok,56%,44%,18,14,3,6,15,8,8,3,2,2,4,3,12,14,419,324,97,95,77,43,1,6,1,0,,,,,,,1,2
102,2019-2020,25,03.03.2020 18:00,Lech Poznań,Górnik Zabrze,62%,38%,20,16,10,5,10,11,6,7,3,2,4,6,9,15,577,283,101,84,70,62,1,1,,,,,,,,,4,1
103,2019-2020,25,03.03.2020 18:00,Wisła Płock,Raków Częstochowa,56%,44%,9,10,2,4,7,6,7,4,2,2,2,2,14,14,450,271,117,115,80,85,3,2,0,1,,,,,,,0,2
104,2019-2020,24,01.03.2020 17:30,Zagłębie Lubin,Śląsk Wrocław,55%,45%,15,7,8,3,7,4,3,2,2,0,2,5,10,8,443,331,115,102,100,66,1,1,,,,,,,,,3,1
105,2019-2020,24,01.03.2020 15:00,Arka Gdynia,ŁKS Łódź,42%,58%,10,18,2,4,8,14,4,3,2,0,3,1,27,19,266,367,79,82,71,72,5,2,,,,,,,,,1,1
106,2019-2020,24,01.03.2020 12:30,Korona Kielce,Lechia Gdańsk,53%,47%,29,13,6,5,23,8,12,7,2,2,3,5,16,17,348,305,94,88,101,68,2,6,1,0,,,,,,,1,2
107,2019-2020,24,29.02.2020 20:00,Legia Warszawa,Cracovia,55%,45%,14,8,7,4,7,4,6,3,0,1,3,5,18,16,375,337,128,98,81,40,3,3,,,,,,,,,2,1
108,2019-2020,24,29.02.2020 17:30,Górnik Zabrze,Pogoń Szczecin,36%,64%,18,17,10,3,8,14,7,5,0,1,2,7,22,9,251,466,91,128,75,88,3,1,,,,,,,,,3,1
109,2019-2020,24,29.02.2020 15:00,Wisła Kraków,Wisła Płock,52%,48%,14,12,5,7,9,5,2,6,1,1,5,4,16,12,332,307,83,99,55,72,2,3,,,,,,,,,2,2
110,2019-2020,24,28.02.2020 20:30,Jagiellonia Białystok,Lech Poznań,42%,58%,21,12,8,3,13,9,8,7,4,4,2,7,12,18,291,478,85,99,63,86,3,3,,,,,,,,,1,1
111,2019-2020,24,28.02.2020 18:00,Raków Częstochowa,Piast Gliwice,42%,58%,17,13,10,1,7,12,5,3,3,0,1,8,11,9,314,547,129,143,90,89,3,2,,,,,,,,,2,0
112,2019-2020,23,23.02.2020 17:30,Lech Poznań,Lechia Gdańsk,73%,27%,42,9,14,3,28,6,19,1,1,4,3,12,11,9,528,251,93,72,114,39,3,4,0,1,,,,,,,2,0
113,2019-2020,23,23.02.2020 15:00,Wisła Kraków,Korona Kielce,48%,52%,15,20,8,6,7,14,8,6,0,1,6,6,21,10,331,376,64,100,56,86,3,5,0,1,,,,,,,2,0
114,2019-2020,23,23.02.2020 12:30,Wisła Płock,Zagłębie Lubin,41%,59%,9,24,3,7,6,17,7,9,4,5,6,2,16,19,251,375,87,116,58,103,1,1,,,,,,,,,1,1
115,2019-2020,23,22.02.2020 20:00,Piast Gliwice,Cracovia,49%,51%,11,10,5,5,6,5,8,8,1,1,5,4,12,19,383,399,109,118,79,76,0,3,,,,,,,,,1,0
116,2019-2020,23,22.02.2020 17:30,Legia Warszawa,Jagiellonia Białystok,52%,48%,15,7,7,2,8,5,6,3,8,0,2,3,15,12,410,434,93,91,72,43,0,2,,,,,,,,,4,0
117,2019-2020,23,22.02.2020 15:00,Arka Gdynia,Raków Częstochowa,57%,43%,12,21,6,6,6,15,3,7,1,1,4,3,21,12,294,319,78,78,69,81,3,0,,,,,,,,,3,2
118,2019-2020,23,21.02.2020 20:30,Śląsk Wrocław,Górnik Zabrze,48%,52%,7,12,2,3,5,9,1,6,4,3,2,0,15,12,360,392,110,137,59,97,,,,,,,,,,,2,1
119,2019-2020,23,21.02.2020 18:00,ŁKS Łódź,Pogoń Szczecin,49%,51%,12,6,3,1,9,5,6,4,2,2,1,3,19,8,383,411,130,146,87,81,3,1,,,,,,,,,0,0
120,2019-2020,22,16.02.2020 17:30,Cracovia,Lech Poznań,41%,59%,17,21,5,7,12,14,5,12,3,1,6,3,13,11,307,448,85,106,74,83,1,0,,,,,,,,,2,1
121,2019-2020,22,16.02.2020 15:00,Zagłębie Lubin,Wisła Kraków,46%,54%,11,10,1,2,10,8,7,7,0,3,2,1,14,22,363,362,105,115,70,91,0,2,,,,,,,,,0,1
122,2019-2020,22,16.02.2020 12:30,Jagiellonia Białystok,Korona Kielce,61%,39%,30,7,4,3,26,4,6,1,2,3,3,4,21,20,479,282,111,102,98,42,1,5,,,,,,,,,0,0
