,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,goals_home,goals_away
219,2022-2023, 4,08.08.2022 19:00,Wisła Płock,Miedź Legnica,55%,45%,15,19,9,8,4,5,2,6,12,16,3,6,4,1,27,17,7,5,13,11,,,3,1,448,365,356,292,25,18,119,118,73,84,4,1
220,2022-2023, 4,07.08.2022 20:00,Górnik Zabrze,Raków Częstochowa,56%,44%,10,16,3,4,4,5,3,7,10,22,4,5,1,1,20,17,4,2,22,9,,,3,3,561,440,433,328,23,16,122,111,65,75,1,0
221,2022-2023, 4,07.08.2022 17:30,Zagłębie Lubin,Lech Poznań,44%,56%,16,12,7,2,6,6,3,4,12,12,7,4,0,0,29,26,1,6,13,12,,,1,1,308,418,225,320,18,23,99,105,101,70,1,1
222,2022-2023, 4,07.08.2022 15:00,Warta Poznań,Pogoń Szczecin,42%,58%,14,3,2,1,9,1,3,1,16,20,6,2,5,2,24,19,0,1,15,15,,,2,3,316,468,241,365,16,19,96,115,69,51,1,2
223,2022-2023, 4,06.08.2022 20:00,Śląsk Wrocław,Widzew Łódź,54%,46%,15,10,4,4,11,5,0,1,16,8,8,6,0,7,16,13,4,4,10,8,,,2,0,470,393,399,331,19,14,110,76,86,64,0,0
224,2022-2023, 4,06.08.2022 17:30,Jagiellonia Białystok,Radomiak Radom,33%,67%,4,29,3,6,1,14,0,9,14,20,1,8,3,1,12,23,4,2,17,12,2,0,4,3,241,477,152,389,11,9,74,124,37,103,1,2
225,2022-2023, 4,06.08.2022 15:00,Lechia Gdańsk,Korona Kielce,67%,33%,12,20,2,6,3,11,7,3,20,15,6,7,1,2,37,23,5,2,16,19,,,2,4,458,217,360,144,13,19,88,75,62,61,0,1
226,2022-2023, 4,05.08.2022 20:30,Legia Warszawa,Piast Gliwice,56%,44%,15,4,3,0,8,3,4,1,10,17,3,5,1,0,17,19,0,1,16,10,,,2,3,476,375,409,298,12,12,126,90,52,48,2,0
227,2022-2023, 4,05.08.2022 18:00,Stal Mielec,Cracovia,60%,40%,12,13,4,5,6,7,2,1,18,12,5,2,3,3,17,16,5,2,8,17,0,1,0,3,477,316,399,240,14,9,78,60,57,39,2,0
228,2022-2023, 3,01.08.2022 19:00,Korona Kielce,Śląsk Wrocław,29%,71%,10,7,6,4,2,2,2,1,11,17,4,3,0,0,32,28,3,3,17,12,,,3,1,215,543,147,465,19,18,73,97,64,49,3,1
229,2022-2023, 3,31.07.2022 20:00,Widzew Łódź,Lechia Gdańsk,51%,49%,18,8,7,5,6,3,5,0,14,11,6,3,3,2,20,23,2,5,9,13,,,2,4,451,447,373,373,9,22,88,94,77,56,2,3
230,2022-2023, 3,31.07.2022 17:30,Lech Poznań,Wisła Płock,55%,45%,16,16,7,3,5,8,4,5,14,16,14,2,2,2,23,12,0,6,14,12,,,2,3,445,363,367,287,12,18,122,77,104,45,1,3
231,2022-2023, 3,31.07.2022 17:30,Raków Częstochowa,Stal Mielec,46%,54%,15,10,6,3,5,3,4,4,13,19,4,6,5,0,18,20,1,3,15,16,,,3,2,374,445,305,356,10,12,81,66,65,50,3,2
232,2022-2023, 3,31.07.2022 15:00,Pogoń Szczecin,Jagiellonia Białystok,45%,55%,7,18,2,4,3,10,2,4,17,14,3,9,1,6,24,25,4,1,16,12,,,3,2,304,363,203,280,14,16,69,75,46,83,1,0
233,2022-2023, 3,30.07.2022 20:00,Miedź Legnica,Warta Poznań,66%,34%,16,8,2,4,9,3,5,1,14,12,4,4,1,4,22,20,2,1,11,10,,,3,3,641,320,535,228,8,15,124,103,85,68,1,2
234,2022-2023, 3,30.07.2022 17:30,Radomiak Radom,Górnik Zabrze,50%,50%,17,8,4,4,5,2,8,2,15,17,6,3,0,3,31,33,1,4,17,14,,,4,4,355,358,248,246,15,15,130,148,70,67,0,3
235,2022-2023, 3,29.07.2022 20:30,Cracovia,Legia Warszawa,32%,68%,12,15,7,1,5,8,0,6,9,17,4,6,2,1,23,17,1,4,15,9,,,4,2,249,531,173,448,16,18,97,132,60,66,3,0
236,2022-2023, 3,29.07.2022 18:00,Piast Gliwice,Zagłębie Lubin,56%,44%,10,13,2,5,6,4,2,4,11,19,5,5,0,1,18,21,4,2,19,11,0,1,2,3,421,338,341,253,10,5,90,76,70,65,0,1
237,2022-2023, 2,25.07.2022 19:00,Stal Mielec,Radomiak Radom,53%,47%,8,13,3,5,0,7,5,1,16,12,6,3,1,0,17,19,4,2,13,16,,,2,3,434,389,363,326,16,14,106,112,62,62,1,1
238,2022-2023, 2,24.07.2022 17:30,Śląsk Wrocław,Pogoń Szczecin,41%,59%,11,14,4,4,6,6,1,4,14,12,4,9,4,1,12,13,3,2,9,14,,,0,4,388,561,320,477,13,13,87,111,52,102,2,1
239,2022-2023, 2,23.07.2022 20:00,Legia Warszawa,Zagłębie Lubin,58%,42%,13,14,4,3,5,5,4,6,20,17,4,5,1,1,19,14,3,2,16,22,,,3,2,451,320,354,234,14,10,105,88,44,53,2,0
240,2022-2023, 2,23.07.2022 17:30,Cracovia,Korona Kielce,57%,43%,17,9,4,0,9,5,4,4,16,9,10,1,0,0,25,25,0,2,11,17,,,2,2,355,274,257,188,20,16,89,95,89,56,2,0
241,2022-2023, 2,22.07.2022 20:30,Jagiellonia Białystok,Widzew Łódź,51%,49%,23,11,5,4,8,5,10,2,21,15,8,1,0,3,19,19,2,5,16,19,,,1,2,367,361,280,285,18,22,108,66,86,35,0,2
242,2022-2023, 2,22.07.2022 18:00,Warta Poznań,Wisła Płock,41%,59%,14,22,2,9,6,8,6,5,14,14,7,5,2,2,19,21,5,2,12,11,,,2,1,307,522,234,445,18,12,84,88,53,58,0,4
243,2022-2023, 1,18.07.2022 19:00,Górnik Zabrze,Cracovia,70%,30%,11,12,4,5,2,5,5,2,14,11,12,3,1,1,31,18,3,4,10,13,,,3,0,607,258,486,166,13,15,123,72,105,48,0,2
244,2022-2023, 1,17.07.2022 17:30,Pogoń Szczecin,Widzew Łódź,53%,47%,16,14,8,4,5,8,3,2,13,15,3,7,0,2,21,14,3,6,15,11,,,1,2,496,434,414,359,11,21,75,64,73,56,2,1
245,2022-2023, 1,17.07.2022 15:00,Wisła Płock,Lechia Gdańsk,57%,43%,21,9,7,4,7,2,7,3,11,14,7,6,2,2,20,20,4,4,11,10,,,1,3,528,394,432,303,14,7,86,81,64,56,3,0
246,2022-2023, 1,17.07.2022 12:30,Radomiak Radom,Miedź Legnica,64%,36%,23,6,2,4,12,1,9,1,14,11,7,2,2,1,23,17,3,1,9,17,0,1,1,5,513,286,422,203,11,19,113,89,93,37,1,1
247,2022-2023, 1,16.07.2022 20:00,Korona Kielce,Legia Warszawa,40%,60%,9,8,1,3,7,3,1,2,22,17,3,3,0,3,26,26,2,0,19,18,0,1,2,4,252,366,155,273,14,10,59,58,24,33,1,1
248,2022-2023, 1,16.07.2022 17:30,Jagiellonia Białystok,Piast Gliwice,47%,53%,9,12,3,3,4,7,2,2,16,16,4,4,0,5,22,23,3,1,16,10,,,4,3,402,441,281,327,11,18,90,99,46,69,2,0
249,2022-2023, 1,16.07.2022 15:00,Lech Poznań,Stal Mielec,63%,37%,19,9,5,4,7,4,7,1,10,15,8,2,1,1,15,23,2,5,13,12,,,1,1,559,344,474,260,12,12,104,68,88,32,0,2
250,2022-2023, 1,15.07.2022 20:30,Zagłębie Lubin,Śląsk Wrocław,51%,49%,8,15,3,5,4,6,1,4,12,18,1,7,1,2,21,28,5,3,17,10,,,1,3,425,419,332,321,15,9,115,100,72,69,0,0
251,2022-2023, 1,15.07.2022 18:00,Raków Częstochowa,Warta Poznań,49%,51%,10,8,7,1,3,4,0,3,16,17,3,3,4,0,19,22,1,6,13,16,,,1,1,411,437,283,314,21,14,105,106,65,68,1,0
