,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,goals_home,goals_away
34,2022-2023,25,17.03.2023 20:30,Radomiak Radom,Legia Warszawa,44%,56%,12,14,2,8,6,5,4,1,13,14,3,5,0,2,22,20,6,2,16,12,,,3,2,382,492,295,398,18,21,86,107,57,50,0,2
35,2022-2023,25,17.03.2023 18:00,Górnik Zabrze,Wisła Płock,47%,53%,21,11,7,4,11,3,3,4,10,22,3,2,4,1,22,27,2,4,17,8,,,4,4,399,443,297,326,21,16,102,87,92,53,3,2
36,2022-2023,24,13.03.2023 19:00,Wisła Płock,Widzew Łódź,51%,49%,11,18,2,4,9,8,0,6,12,15,6,4,0,2,31,22,3,1,15,11,,,1,2,435,414,342,328,19,12,104,91,71,61,1,1
37,2022-2023,24,12.03.2023 17:30,Legia Warszawa,Stal Mielec,50%,50%,13,19,6,5,3,8,4,6,12,12,6,8,1,3,14,13,5,4,13,10,,,1,0,445,427,360,347,15,14,88,113,53,71,2,0
38,2022-2023,24,12.03.2023 15:00,Piast Gliwice,Lech Poznań,37%,63%,7,8,3,2,4,5,0,1,15,13,6,1,2,0,19,27,1,2,11,16,,,2,3,352,610,243,501,24,17,83,103,75,61,1,1
39,2022-2023,24,12.03.2023 12:30,Warta Poznań,Cracovia,56%,44%,10,8,5,2,4,3,1,3,14,18,8,2,2,0,27,23,2,5,15,12,,,2,2,425,341,317,218,9,18,105,86,64,41,0,0
40,2022-2023,24,11.03.2023 20:00,Jagiellonia Białystok,Górnik Zabrze,41%,59%,10,16,3,5,4,6,3,5,15,21,3,8,3,1,20,22,4,1,17,13,,,3,2,352,508,252,402,13,15,105,121,58,83,2,1
41,2022-2023,24,11.03.2023 17:30,Zagłębie Lubin,Pogoń Szczecin,36%,64%,18,15,7,5,5,7,6,3,13,12,9,1,2,1,21,13,4,7,9,13,,,0,2,324,618,238,516,8,15,86,145,84,91,0,1
42,2022-2023,24,11.03.2023 15:00,Korona Kielce,Radomiak Radom,59%,41%,24,15,8,5,7,7,9,3,12,6,7,9,0,2,39,29,4,6,7,11,,,2,3,383,258,287,157,16,13,85,70,76,70,2,1
43,2022-2023,24,10.03.2023 20:30,Raków Częstochowa,Śląsk Wrocław,57%,43%,15,8,7,3,6,2,2,3,7,16,10,6,2,0,15,7,2,3,16,7,,,3,1,493,369,410,284,8,6,128,84,89,44,4,1
