,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,goals_home,goals_away
46,2014-2015,32,15.05.2015 20:30,Lechia Gdańsk,Wisła Kraków,52%,48%,13,9,3,5,8,2,2,2,19,17,4,5,3,4,28,30,3,1,13,15,1,2,,,2,2
47,2014-2015,32,15.05.2015 18:00,Zawisza Bydgoszcz,Korona Kielce,44%,56%,15,13,5,5,5,6,5,2,18,24,1,3,4,2,20,24,4,2,19,16,2,1,,,3,1
48,2014-2015,31,11.05.2015 18:00,Piast Gliwice,Górnik Łęczna,47%,53%,15,22,5,5,7,11,3,6,15,20,8,8,0,2,35,28,2,3,20,14,4,2,,,2,3
49,2014-2015,31,10.05.2015 18:00,Cracovia,GKS Bełchatów,54%,46%,14,13,3,3,8,6,3,4,20,20,4,3,0,1,28,29,2,2,19,19,1,2,,,1,1
50,2014-2015,31,10.05.2015 15:30,Podbeskidzie B-B,Zawisza Bydgoszcz,63%,37%,21,9,6,3,7,4,8,2,15,19,8,1,1,1,36,20,1,4,17,14,4,0,,,2,2
51,2014-2015,31,09.05.2015 20:30,Wisła Kraków,Górnik Zabrze,55%,45%,14,14,7,3,4,9,3,2,10,16,9,3,1,1,21,17,2,3,16,9,,,,,4,1
52,2014-2015,31,09.05.2015 18:00,Pogoń Szczecin,Lechia Gdańsk,41%,59%,8,19,3,8,4,4,1,7,10,21,6,6,1,1,27,26,5,2,19,9,2,0,1,0,1,3
53,2014-2015,31,09.05.2015 15:30,Legia Warszawa,Lech Poznań,57%,43%,17,9,3,3,8,4,6,2,20,8,13,3,0,0,25,27,1,2,8,20,3,5,,,1,2
54,2014-2015,31,08.05.2015 20:30,Jagiellonia Białystok,Śląsk Wrocław,47%,53%,13,13,5,5,4,3,4,5,11,10,4,7,2,1,23,39,4,4,8,10,1,3,,,1,1
55,2014-2015,31,08.05.2015 18:00,Korona Kielce,Ruch Chorzów,54%,46%,16,11,6,3,4,6,6,2,8,17,9,4,2,3,27,27,1,6,15,5,2,1,,,0,2
56,2014-2015,30,29.04.2015 20:30,Cracovia,GKS Bełchatów,57%,43%,15,5,7,3,5,1,3,1,14,18,5,0,1,1,37,20,2,4,18,12,1,1,,,3,1
57,2014-2015,30,29.04.2015 20:30,Górnik Łęczna,Piast Gliwice,55%,45%,15,13,7,5,6,6,2,2,16,20,4,3,0,0,34,19,3,6,18,15,2,2,,,1,2
58,2014-2015,30,29.04.2015 20:30,Górnik Zabrze,Zawisza Bydgoszcz,50%,50%,15,6,6,3,8,1,1,2,13,12,3,3,2,1,12,12,2,4,11,14,1,1,,,2,1
59,2014-2015,30,29.04.2015 20:30,Jagiellonia Białystok,Ruch Chorzów,46%,54%,14,8,7,3,5,3,2,2,8,16,4,7,1,3,21,28,3,5,14,5,2,3,,,2,0
60,2014-2015,30,29.04.2015 20:30,Korona Kielce,Lechia Gdańsk,44%,56%,8,22,4,6,3,11,1,5,12,17,2,10,2,3,28,22,4,1,13,11,3,4,,,3,2
61,2014-2015,30,29.04.2015 20:30,Legia Warszawa,Pogoń Szczecin,63%,37%,17,10,7,1,9,5,1,4,22,13,7,2,1,1,20,14,0,5,12,21,1,3,0,1,2,1
