,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,Auty bramkowe_home,Auty bramkowe_away,goals_home,goals_away
0,2013-2014,37,01.06.2014 18:00,Górnik Zabrze,Lechia Gdańsk,52%,48%,22,14,7,6,8,6,7,2,22,17,6,5,4,2,27,21,4,7,14,21,3,1,,,,,0,2
1,2013-2014,37,01.06.2014 18:00,Legia Warszawa,Lech Poznań,49%,51%,10,8,4,6,6,2,0,0,20,15,10,3,0,0,20,37,6,2,9,10,2,4,,,,,2,0
2,2013-2014,37,01.06.2014 18:00,Ruch Chorzów,Pogoń Szczecin,45%,55%,13,9,2,1,8,8,3,0,16,10,4,4,0,4,11,12,1,2,11,11,0,3,,,,,0,0
3,2013-2014,37,01.06.2014 18:00,Wisła Kraków,Zawisza Bydgoszcz,49%,51%,11,19,6,5,4,8,1,6,18,26,5,4,3,0,13,16,4,4,26,18,0,5,,,,,2,1
4,2013-2014,37,31.05.2014 20:30,Cracovia,Jagiellonia Białystok,63%,37%,16,19,7,8,8,7,1,4,11,20,3,5,3,0,20,19,6,5,19,12,1,0,,,,,2,2
5,2013-2014,37,31.05.2014 20:30,Korona Kielce,Śląsk Wrocław,46%,54%,10,25,6,10,2,10,2,5,7,14,4,5,2,0,19,24,5,6,12,7,2,1,,,,,1,5
6,2013-2014,37,31.05.2014 20:30,Piast Gliwice,Podbeskidzie B-B,45%,55%,6,23,3,9,2,7,1,7,13,14,2,6,2,1,28,23,7,1,12,13,1,4,,,,,2,2
7,2013-2014,37,31.05.2014 20:30,Zagłębie Lubin,Widzew Łódź,49%,51%,20,14,7,9,9,5,4,0,14,18,6,3,4,0,21,17,9,7,15,12,2,1,,,,,0,3
8,2013-2014,36,28.05.2014 20:30,Widzew Łódź,Piast Gliwice,54%,46%,19,15,7,6,6,6,6,3,,,2,6,1,3,,,5,5,14,21,1,3,,,,,2,1
9,2013-2014,36,28.05.2014 20:30,Lech Poznań,Ruch Chorzów,55%,45%,14,10,6,2,6,7,2,1,12,22,4,0,8,1,34,29,2,2,14,11,2,0,,,,,4,0
10,2013-2014,36,28.05.2014 20:30,Lechia Gdańsk,Wisła Kraków,57%,43%,25,7,9,2,12,4,4,1,18,17,8,1,2,2,29,18,0,7,16,18,4,4,,,,,2,2
11,2013-2014,36,28.05.2014 20:30,Pogoń Szczecin,Legia Warszawa,41%,59%,8,11,4,7,4,4,0,0,10,21,7,4,1,0,25,23,6,4,20,10,1,2,,,,,0,1
12,2013-2014,36,28.05.2014 20:30,Zawisza Bydgoszcz,Górnik Zabrze,54%,46%,18,10,4,0,8,7,6,3,19,15,8,4,3,4,21,28,0,4,10,15,1,1,,,,,0,1
13,2013-2014,36,27.05.2014 20:30,Jagiellonia Białystok,Korona Kielce,47%,53%,15,14,5,5,8,7,2,2,28,19,6,7,1,5,26,29,1,1,20,22,4,2,1,0,,,4,4
14,2013-2014,36,27.05.2014 20:30,Podbeskidzie B-B,Zagłębie Lubin,52%,48%,17,15,5,4,6,8,6,3,7,10,6,4,1,0,28,24,4,3,9,9,1,1,,,,,2,0
15,2013-2014,36,27.05.2014 20:30,Śląsk Wrocław,Cracovia,46%,54%,16,11,3,1,8,7,5,3,15,10,7,0,0,2,27,23,1,2,10,15,0,3,,,,,1,0
16,2013-2014,35,25.05.2014 18:00,Zawisza Bydgoszcz,Lechia Gdańsk,51%,49%,14,23,4,8,9,11,1,4,15,15,1,9,2,3,30,32,8,4,14,10,1,0,,,,,0,0
17,2013-2014,35,25.05.2014 15:30,Legia Warszawa,Ruch Chorzów,65%,35%,16,7,4,4,9,2,3,1,17,16,9,2,1,2,21,16,2,3,16,16,2,2,,,,,1,2
18,2013-2014,35,24.05.2014 15:30,Lech Poznań,Pogoń Szczecin,66%,34%,17,9,5,2,9,3,3,4,17,11,10,10,0,0,34,21,2,5,9,15,1,3,,,,,0,0
19,2013-2014,35,24.05.2014 13:00,Wisła Kraków,Górnik Zabrze,49%,51%,10,8,5,3,4,4,1,1,9,21,2,2,4,1,30,27,0,3,14,8,,,,,,,2,3
20,2013-2014,35,23.05.2014 20:30,Piast Gliwice,Zagłębie Lubin,49%,51%,12,24,6,7,4,12,2,5,10,8,5,9,1,1,25,14,7,4,7,8,0,1,,,,,2,0
21,2013-2014,35,23.05.2014 18:00,Cracovia,Korona Kielce,56%,44%,28,16,6,7,17,5,5,4,15,6,3,4,1,1,17,25,6,5,4,14,0,5,0,1,,,1,1
22,2013-2014,35,22.05.2014 20:30,Podbeskidzie B-B,Widzew Łódź,40%,60%,11,16,5,3,5,6,1,7,12,21,5,7,6,2,25,35,3,2,13,10,1,0,,,,,3,0
23,2013-2014,35,22.05.2014 18:00,Jagiellonia Białystok,Śląsk Wrocław,51%,49%,11,9,2,8,6,1,3,0,18,15,3,1,3,4,24,19,5,2,11,15,0,1,,,,,0,3
24,2013-2014,34,19.05.2014 18:00,Ruch Chorzów,Wisła Kraków,51%,49%,19,8,8,2,10,6,1,0,14,16,5,2,1,4,13,6,0,6,17,14,2,1,,,,,2,2
25,2013-2014,34,18.05.2014 18:00,Górnik Zabrze,Legia Warszawa,49%,51%,18,10,8,5,4,4,6,1,13,9,4,7,1,7,23,20,2,6,8,6,2,2,,,,,2,3
26,2013-2014,34,18.05.2014 15:30,Zagłębie Lubin,Cracovia,58%,42%,28,15,9,7,12,7,7,1,18,19,15,7,0,1,26,27,5,8,19,16,4,1,1,0,,,1,2
27,2013-2014,34,17.05.2014 20:30,Pogoń Szczecin,Zawisza Bydgoszcz,43%,57%,13,17,3,4,5,6,5,7,19,27,5,8,0,0,24,27,2,2,24,19,7,2,1,0,,,1,2
28,2013-2014,34,17.05.2014 18:00,Korona Kielce,Piast Gliwice,60%,40%,15,11,2,5,10,3,3,3,13,10,6,4,2,1,29,28,4,2,9,12,1,2,,,,,0,1
29,2013-2014,34,17.05.2014 15:30,Śląsk Wrocław,Podbeskidzie B-B,57%,43%,19,9,4,2,11,3,4,4,15,14,10,8,1,3,27,26,2,4,12,11,1,1,,,,,0,0
30,2013-2014,34,16.05.2014 20:30,Lechia Gdańsk,Lech Poznań,49%,51%,13,9,5,3,7,4,1,2,17,17,9,2,1,1,27,25,2,3,16,16,4,1,,,,,2,1
31,2013-2014,34,16.05.2014 18:00,Widzew Łódź,Jagiellonia Białystok,51%,49%,10,17,5,5,2,6,3,6,18,16,4,4,4,1,39,31,4,4,12,18,1,4,1,0,,,1,1
32,2013-2014,33,12.05.2014 18:00,Śląsk Wrocław,Widzew Łódź,53%,47%,17,14,5,5,5,7,7,2,20,17,8,6,4,1,29,18,5,4,14,20,1,3,,,,,1,0
33,2013-2014,33,11.05.2014 18:00,Ruch Chorzów,Zawisza Bydgoszcz,55%,45%,9,13,4,6,3,6,2,1,14,19,7,5,3,1,15,14,5,1,16,14,1,6,0,1,,,3,1
34,2013-2014,33,11.05.2014 15:30,Korona Kielce,Podbeskidzie B-B,55%,45%,19,13,9,4,5,8,5,1,12,19,8,7,5,0,37,18,2,6,13,13,4,1,1,0,,,3,2
35,2013-2014,33,10.05.2014 20:30,Lech Poznań,Górnik Zabrze,51%,49%,15,9,4,4,9,1,2,4,15,19,4,8,2,2,22,39,3,2,15,12,3,4,,,,,2,1
36,2013-2014,33,10.05.2014 18:00,Pogoń Szczecin,Lechia Gdańsk,53%,47%,16,14,6,4,5,9,5,1,12,26,9,3,4,0,32,16,2,6,23,12,4,4,,,,,0,2
37,2013-2014,33,10.05.2014 15:30,Cracovia,Piast Gliwice,59%,41%,14,19,4,7,5,6,5,6,12,17,5,3,1,0,26,21,2,3,17,12,4,1,1,0,,,1,5
38,2013-2014,33,09.05.2014 20:30,Legia Warszawa,Wisła Kraków,56%,44%,16,7,10,2,5,3,1,2,17,20,11,2,3,1,25,15,2,5,17,15,1,1,,,,,5,0
39,2013-2014,33,09.05.2014 18:00,Jagiellonia Białystok,Zagłębie Lubin,47%,53%,6,23,2,4,3,10,1,9,13,14,2,6,3,1,28,35,4,1,12,12,3,4,,,,,1,0
40,2013-2014,32,05.05.2014 20:30,Zagłębie Lubin,Korona Kielce,54%,46%,21,7,7,1,12,4,2,2,20,13,8,2,1,1,21,19,1,7,12,17,1,2,,,,,0,0
41,2013-2014,32,05.05.2014 18:00,Zawisza Bydgoszcz,Lech Poznań,45%,55%,13,13,5,5,4,5,4,3,16,11,6,5,0,3,26,32,3,4,9,16,3,3,1,1,,,1,2
42,2013-2014,32,04.05.2014 18:00,Górnik Zabrze,Ruch Chorzów,40%,60%,13,13,6,6,6,6,1,1,9,19,5,7,2,1,36,27,6,4,18,8,1,1,,,,,2,0
43,2013-2014,32,04.05.2014 15:30,Widzew Łódź,Cracovia,51%,49%,26,7,8,4,16,1,2,2,16,19,11,6,2,3,16,28,4,6,16,12,1,1,0,1,,,2,0
44,2013-2014,32,03.05.2014 20:30,Wisła Kraków,Pogoń Szczecin,50%,50%,14,17,6,4,7,7,1,6,15,28,8,5,2,1,27,25,4,1,23,14,2,2,,,,,5,0
45,2013-2014,32,03.05.2014 18:00,Lechia Gdańsk,Legia Warszawa,48%,52%,17,7,2,3,11,3,4,1,23,18,7,1,1,4,35,30,2,2,17,15,4,2,,,,,0,1
46,2013-2014,32,03.05.2014 15:30,Piast Gliwice,Śląsk Wrocław,41%,59%,6,14,2,4,4,4,0,6,11,23,3,12,4,0,28,23,4,2,19,8,3,1,1,0,,,0,0
47,2013-2014,32,01.05.2014 18:00,Podbeskidzie B-B,Jagiellonia Białystok,49%,51%,14,9,4,3,5,5,5,1,12,21,5,8,4,1,28,22,2,2,17,12,1,3,,,,,2,1
48,2013-2014,31,28.04.2014 18:00,Pogoń Szczecin,Górnik Zabrze,43%,57%,18,10,10,2,5,5,3,3,15,17,5,4,4,1,38,24,0,8,11,16,3,2,,,,,2,2
49,2013-2014,31,27.04.2014 18:00,Ruch Chorzów,Lechia Gdańsk,54%,46%,9,18,2,6,6,8,1,4,10,12,6,6,4,4,24,22,6,2,11,13,1,1,,,,,0,0
50,2013-2014,31,27.04.2014 15:30,Korona Kielce,Widzew Łódź,60%,40%,19,18,8,5,6,8,5,5,11,19,7,4,3,1,32,27,3,6,16,10,3,0,,,,,2,2
51,2013-2014,31,26.04.2014 20:30,Legia Warszawa,Zawisza Bydgoszcz,65%,35%,18,11,8,4,8,5,2,2,22,22,11,6,3,4,11,21,4,6,19,19,3,3,,,,,2,0
52,2013-2014,31,26.04.2014 18:00,Jagiellonia Białystok,Piast Gliwice,61%,39%,11,18,7,5,3,7,1,6,30,18,3,11,2,0,26,26,2,3,15,27,3,6,,,,,4,3
53,2013-2014,31,26.04.2014 15:30,Śląsk Wrocław,Zagłębie Lubin,61%,39%,16,8,6,2,7,3,3,3,15,11,3,2,1,4,32,24,2,5,8,11,2,4,,,,,1,0
54,2013-2014,31,25.04.2014 20:30,Lech Poznań,Wisła Kraków,60%,40%,18,5,5,0,11,2,2,3,16,20,2,2,0,1,23,28,0,3,20,15,2,3,,,,,3,0
55,2013-2014,31,25.04.2014 18:00,Cracovia,Podbeskidzie B-B,68%,32%,11,12,3,5,1,3,7,4,19,18,7,8,1,1,21,20,4,3,17,19,3,2,,,,,0,1
56,2013-2014,30,12.04.2014 18:00,Górnik Zabrze,Lech Poznań,44%,56%,14,18,4,6,5,4,5,8,21,14,5,9,4,4,18,20,3,4,9,20,2,3,,,,,0,3
57,2013-2014,30,12.04.2014 18:00,Jagiellonia Białystok,Piast Gliwice,58%,42%,14,12,3,2,9,5,2,5,20,17,9,5,2,2,27,20,3,2,14,16,2,2,,,,,1,1
58,2013-2014,30,12.04.2014 18:00,Korona Kielce,Cracovia,35%,65%,9,24,5,7,4,8,0,9,12,20,2,3,3,0,15,29,7,4,14,8,0,2,1,0,,,1,0
59,2013-2014,30,12.04.2014 18:00,Pogoń Szczecin,Widzew Łódź,47%,53%,11,20,4,5,5,8,2,7,17,24,11,9,8,1,29,34,5,3,16,17,1,2,,,,,1,0
60,2013-2014,30,12.04.2014 18:00,Śląsk Wrocław,Lechia Gdańsk,57%,43%,16,7,6,2,6,4,4,1,13,11,11,3,2,1,24,28,2,5,5,12,3,1,1,0,,,1,0
61,2013-2014,30,12.04.2014 18:00,Wisła Kraków,Podbeskidzie B-B,59%,41%,9,16,5,6,3,7,1,3,13,24,4,4,2,1,27,20,5,5,22,15,4,4,1,0,,,0,1
62,2013-2014,30,12.04.2014 18:00,Zagłębie Lubin,Legia Warszawa,30%,70%,6,12,1,6,4,5,1,1,11,14,2,3,1,0,18,23,3,0,14,10,,,1,0,,,1,3
63,2013-2014,30,12.04.2014 18:00,Zawisza Bydgoszcz,Ruch Chorzów,54%,46%,13,8,5,8,6,0,2,0,25,13,5,8,3,4,17,17,5,5,13,21,1,4,,,,,0,3
64,2013-2014,29,07.04.2014 18:00,Ruch Chorzów,Korona Kielce,52%,48%,20,9,7,1,7,2,6,6,22,13,8,1,1,5,10,10,1,5,12,18,1,0,,,,,2,0
65,2013-2014,29,06.04.2014 18:00,Legia Warszawa,Zawisza Bydgoszcz,67%,33%,17,13,11,2,5,9,1,2,23,20,9,5,5,2,14,15,2,8,13,21,1,2,0,1,,,3,0
66,2013-2014,29,06.04.2014 15:30,Piast Gliwice,Pogoń Szczecin,42%,58%,11,18,5,5,4,4,2,9,19,16,2,7,0,9,27,39,3,3,15,11,1,2,,,,,2,2
67,2013-2014,29,05.04.2014 20:30,Lech Poznań,Jagiellonia Białystok,53%,47%,20,10,8,4,10,2,2,4,10,24,10,2,0,0,26,24,3,2,25,10,1,2,,,,,6,1
68,2013-2014,29,05.04.2014 18:00,Widzew Łódź,Wisła Kraków,42%,58%,13,9,5,2,8,5,0,2,22,19,4,5,2,10,25,25,1,3,20,14,2,5,,,,,2,1
69,2013-2014,29,05.04.2014 15:30,Lechia Gdańsk,Zagłębie Lubin,54%,46%,19,12,7,6,6,5,6,1,20,14,8,1,1,2,25,25,5,5,12,18,1,3,,,,,2,1
70,2013-2014,29,04.04.2014 20:30,Cracovia,Górnik Zabrze,63%,37%,9,17,6,5,3,9,0,3,9,14,4,6,4,0,24,35,5,4,10,9,1,3,0,1,,,2,0
71,2013-2014,29,04.04.2014 18:00,Podbeskidzie B-B,Śląsk Wrocław,46%,54%,14,15,8,9,2,3,4,3,18,29,5,5,3,3,13,25,6,5,28,16,4,1,,,,,3,3
72,2013-2014,28,31.03.2014 18:00,Zagłębie Lubin,Wisła Kraków,40%,60%,11,11,7,2,4,6,0,3,16,12,4,8,5,1,32,18,1,4,8,15,0,3,,,,,3,1
73,2013-2014,28,30.03.2014 18:00,Górnik Zabrze,Jagiellonia Białystok,43%,57%,18,12,7,6,5,5,6,1,12,17,12,4,0,3,36,23,3,4,21,9,1,1,,,,,3,3
74,2013-2014,28,30.03.2014 15:30,Zawisza Bydgoszcz,Śląsk Wrocław,35%,65%,9,13,8,4,0,5,1,4,12,20,8,6,0,2,22,28,4,7,20,11,2,2,,,,,1,0
75,2013-2014,28,29.03.2014 20:30,Lechia Gdańsk,Piast Gliwice,49%,51%,15,19,6,7,8,10,1,2,14,14,4,8,1,0,29,34,6,3,5,2,1,0,1,0,,,3,1
76,2013-2014,28,29.03.2014 18:00,Cracovia,Widzew Łódź,57%,43%,13,20,6,6,6,8,1,6,14,17,3,4,9,1,31,25,5,5,8,12,3,3,,,,,1,1
77,2013-2014,28,29.03.2014 15:30,Legia Warszawa,Lech Poznań,46%,54%,6,21,2,4,3,10,1,7,17,17,4,8,3,1,22,33,4,1,15,16,0,3,,,,,1,0
78,2013-2014,28,28.03.2014 20:30,Korona Kielce,Pogoń Szczecin,43%,57%,13,19,3,6,6,8,4,5,13,20,8,7,0,1,24,21,4,1,21,12,5,0,1,0,,,2,2
79,2013-2014,28,28.03.2014 18:00,Ruch Chorzów,Podbeskidzie B-B,57%,43%,16,8,2,2,8,5,6,1,17,14,7,2,3,1,9,14,1,2,12,17,1,4,0,1,,,0,1
80,2013-2014,27,24.03.2014 18:00,Piast Gliwice,Legia Warszawa,28%,72%,2,18,1,4,1,9,0,5,19,21,1,9,3,2,23,27,2,0,13,12,2,0,,,,,1,2
81,2013-2014,27,23.03.2014 18:00,Śląsk Wrocław,Górnik Zabrze,56%,44%,16,10,7,3,6,5,3,2,10,19,3,0,6,0,40,28,2,6,13,10,2,3,,,,,1,1
82,2013-2014,27,23.03.2014 15:30,Pogoń Szczecin,Ruch Chorzów,59%,41%,19,8,8,4,5,3,6,1,14,14,10,3,3,1,33,24,3,5,11,11,1,1,,,,,3,1
83,2013-2014,27,23.03.2014 13:00,Podbeskidzie B-B,Cracovia,37%,63%,10,11,3,4,2,5,5,2,21,10,2,3,0,6,23,10,3,2,11,16,1,1,,,,,1,1
