,Season,Round,Date,Team_Home,Team_Away,Ball_possession_home,Ball_possession_away,Goal_sit_home,Goal_sit_away,Shots_target_home,Shots_target_away,Shots_no_target_home,Shots_no_target_away,Corners_home,Corners_away,Offsides_home,Offsides_away,GK_inter_home,GK_inter_away,Fauls_home,Fauls_away,Yellow_home,Yellow_away,Red_home,Red_away,Goals_home,Goals_away,Result
1452,2017-2018,20,2017-12-13 18:00:00,Lechia Gdańsk,Pogoń Szczecin,55,45,3,11,2,5,1,6,5,1,5,3,2,1,19,21,0,2,0,0,1,3,L
1453,2017-2018,20,2017-12-13 18:00:00,Zagłębie Lubin,Lech Poznań,48,52,8,14,3,3,5,11,6,3,2,0,3,3,20,16,2,4,0,1,0,0,D
1454,2017-2018,20,2017-12-13 20:30:00,Cracovia,Wisła Kraków,50,50,13,10,5,7,8,3,7,6,1,3,3,4,11,19,2,3,0,0,1,4,L
1455,2017-2018,20,2017-12-13 20:30:00,Wisła Płock,Sandecja Nowy Sącz,58,42,12,13,3,4,9,9,7,3,0,1,2,1,19,16,2,2,0,0,2,2,D
1456,2017-2018,21,2017-12-15 18:00:00,Korona Kielce,Piast Gliwice,50,50,13,11,5,4,8,7,7,5,2,2,3,4,18,12,1,2,0,0,1,1,D
1457,2017-2018,21,2017-12-15 20:30:00,Śląsk Wrocław,Jagiellonia Białystok,49,51,12,10,5,1,7,9,3,10,3,0,1,4,15,14,3,1,0,0,1,0,W
1458,2017-2018,21,2017-12-16 15:30:00,Pogoń Szczecin,Arka Gdynia,62,38,13,6,4,1,9,5,6,4,2,2,1,3,15,29,2,5,0,0,1,0,W
1459,2017-2018,21,2017-12-16 18:00:00,Sandecja Nowy Sącz,Lechia Gdańsk,41,59,9,13,3,5,6,8,5,7,2,2,3,1,19,19,3,1,0,0,2,2,D
1460,2017-2018,21,2017-12-16 20:30:00,Legia Warszawa,Wisła Płock,58,42,19,5,7,2,12,3,5,3,0,4,1,7,14,16,1,4,0,0,0,2,L
1461,2017-2018,21,2017-12-17 15:30:00,Lech Poznań,Bruk-Bet T.,51,49,23,7,10,4,13,3,7,6,1,1,3,7,9,14,1,4,0,0,3,1,W
1462,2017-2018,21,2017-12-17 18:00:00,Wisła Kraków,Zagłębie Lubin,50,50,15,19,8,9,7,10,8,6,0,2,7,7,13,10,1,0,0,0,1,2,L
1463,2017-2018,21,2017-12-18 18:00:00,Górnik Zabrze,Cracovia,54,46,17,11,3,6,14,5,4,2,0,1,2,7,20,17,3,3,1,0,0,4,L
1464,2017-2018,22,2018-09-02 18:00:00,Wisła Płock,Górnik Zabrze,50,50,17,7,9,4,8,3,6,1,2,2,2,5,19,16,1,2,0,0,4,2,W
1465,2017-2018,22,2018-09-02 20:30:00,Zagłębie Lubin,Legia Warszawa,49,51,11,7,4,5,7,2,2,9,6,1,2,2,12,18,4,3,0,0,2,3,L
1466,2017-2018,22,2018-10-02 15:30:00,Pogoń Szczecin,Sandecja Nowy Sącz,56,44,16,10,8,3,8,7,2,4,2,2,2,4,12,15,1,1,0,0,4,1,W
1467,2017-2018,22,2018-10-02 18:00:00,Cracovia,Śląsk Wrocław,59,41,16,8,8,3,8,5,6,4,3,1,2,6,16,16,2,2,0,0,2,1,W
1468,2017-2018,22,2018-10-02 20:30:00,Lechia Gdańsk,Wisła Kraków,44,56,9,7,4,1,5,6,6,7,6,1,0,3,17,15,0,0,0,0,1,1,D
1469,2017-2018,22,2018-11-02 15:30:00,Bruk-Bet T.,Korona Kielce,51,49,8,12,4,6,4,6,4,5,0,2,3,4,14,15,2,2,0,0,0,3,L
1470,2017-2018,22,2018-11-02 18:00:00,Arka Gdynia,Lech Poznań,40,60,8,7,3,2,5,5,7,3,0,1,2,3,19,10,1,1,0,0,0,0,D
1471,2017-2018,22,2018-12-02 18:00:00,Piast Gliwice,Jagiellonia Białystok,53,47,8,11,1,6,7,5,4,3,1,2,4,1,8,8,1,0,0,0,0,2,L
1472,2017-2018,23,2018-02-16 18:00:00,Sandecja Nowy Sącz,Korona Kielce,48,52,11,14,4,6,7,8,5,9,3,3,3,1,21,18,3,1,0,0,3,3,D
1473,2017-2018,23,2018-02-16 20:30:00,Legia Warszawa,Śląsk Wrocław,65,35,9,10,5,5,4,5,3,4,1,7,4,1,15,10,1,1,0,0,4,1,W
1474,2017-2018,23,2018-02-17 15:30:00,Wisła Płock,Zagłębie Lubin,41,59,12,6,5,2,7,4,5,5,0,3,2,3,13,17,0,1,0,0,2,0,W
1475,2017-2018,23,2018-02-17 18:00:00,Jagiellonia Białystok,Cracovia,54,46,16,4,6,1,10,3,5,3,2,2,1,5,14,14,3,2,0,0,1,0,W
1476,2017-2018,23,2018-02-17 20:30:00,Wisła Kraków,Arka Gdynia,56,44,22,12,5,7,17,5,4,6,1,3,5,2,9,21,1,3,0,0,3,2,W
1477,2017-2018,23,2018-02-18 15:30:00,Lechia Gdańsk,Piast Gliwice,54,46,7,9,3,7,4,2,2,1,1,3,5,3,20,10,2,2,0,0,0,2,L
1478,2017-2018,23,2018-02-18 18:00:00,Lech Poznań,Pogoń Szczecin,48,52,11,10,6,1,5,9,7,6,3,5,1,4,14,19,2,4,0,0,2,0,W
1479,2017-2018,23,2018-02-19 18:00:00,Górnik Zabrze,Bruk-Bet T.,45,55,13,12,6,3,7,9,3,5,4,1,3,3,14,13,2,3,0,0,3,0,W
1480,2017-2018,24,2018-02-23 18:00:00,Zagłębie Lubin,Arka Gdynia,60,40,11,3,3,1,8,2,3,1,3,1,1,3,12,22,2,4,0,0,0,0,D
1481,2017-2018,24,2018-02-23 20:30:00,Jagiellonia Białystok,Lechia Gdańsk,51,49,18,5,7,2,11,3,6,4,1,3,1,3,11,18,1,3,0,0,4,1,W
1482,2017-2018,24,2018-02-24 15:30:00,Bruk-Bet T.,Sandecja Nowy Sącz,55,45,4,5,4,5,0,0,5,4,2,5,5,3,14,11,0,1,0,0,1,0,W
1483,2017-2018,24,2018-02-24 18:00:00,Pogoń Szczecin,Wisła Płock,53,47,10,6,3,1,7,5,2,6,2,0,1,1,19,22,3,3,0,0,2,1,W
1484,2017-2018,24,2018-02-24 20:30:00,Cracovia,Legia Warszawa,43,57,12,7,3,2,9,5,4,3,0,0,2,3,15,18,1,3,0,0,0,0,D
1485,2017-2018,24,2018-02-25 15:30:00,Piast Gliwice,Wisła Kraków,42,58,6,5,5,1,1,4,3,2,7,1,1,5,13,18,0,1,0,1,0,0,D
1486,2017-2018,24,2018-02-25 15:30:00,Śląsk Wrocław,Górnik Zabrze,52,48,3,14,1,9,2,5,0,11,4,1,8,0,17,21,4,0,0,0,1,1,D
1487,2017-2018,24,2018-02-25 18:00:00,Korona Kielce,Lech Poznań,43,57,10,5,4,3,6,2,9,4,0,0,3,4,29,15,2,1,0,0,1,0,W
1488,2017-2018,25,2018-02-27 18:00:00,Lechia Gdańsk,Bruk-Bet T.,58,42,10,12,5,4,5,8,6,6,4,2,2,3,9,16,1,2,0,0,2,2,D
1489,2017-2018,25,2018-02-27 18:00:00,Wisła Płock,Cracovia,54,46,13,7,2,2,11,5,6,1,1,6,1,2,24,15,3,3,0,0,0,1,L
1490,2017-2018,25,2018-02-27 20:30:00,Legia Warszawa,Jagiellonia Białystok,35,65,6,23,1,11,5,12,5,6,2,6,9,1,11,11,2,0,2,0,0,2,L
1491,2017-2018,25,2018-02-27 20:30:00,Sandecja Nowy Sącz,Zagłębie Lubin,53,47,11,8,6,5,5,3,2,6,1,2,4,6,21,20,3,1,1,0,0,1,L
1492,2017-2018,25,2018-02-28 18:00:00,Górnik Zabrze,Pogoń Szczecin,44,56,10,30,2,8,8,22,1,10,1,2,8,2,20,17,2,4,0,0,0,0,D
1493,2017-2018,25,2018-02-28 18:00:00,Wisła Kraków,Korona Kielce,64,36,16,8,6,3,10,5,9,2,3,6,2,5,21,19,2,3,0,1,1,1,D
1494,2017-2018,25,2018-02-28 20:30:00,Arka Gdynia,Piast Gliwice,57,43,8,11,1,5,7,6,4,2,2,1,5,1,14,20,3,3,0,0,0,0,D
1495,2017-2018,25,2018-02-28 20:30:00,Lech Poznań,Śląsk Wrocław,57,43,16,10,8,5,8,5,8,3,1,2,4,6,18,15,3,1,0,0,2,1,W
1496,2017-2018,26,2018-02-03 18:00:00,Bruk-Bet T.,Wisła Płock,50,50,4,4,3,1,1,3,2,4,0,0,1,2,9,8,2,3,0,0,1,2,L
1497,2017-2018,26,2018-02-03 20:30:00,Zagłębie Lubin,Lechia Gdańsk,51,49,9,7,2,1,7,6,6,3,3,2,1,2,9,10,3,1,0,0,0,0,D
1498,2017-2018,26,2018-03-03 15:30:00,Śląsk Wrocław,Sandecja Nowy Sącz,50,50,11,11,3,2,8,9,5,5,3,2,2,3,22,21,4,6,0,0,0,0,D
1499,2017-2018,26,2018-03-03 18:00:00,Korona Kielce,Pogoń Szczecin,52,48,9,6,3,4,6,2,7,2,3,3,4,3,23,16,4,2,0,0,0,0,D
1500,2017-2018,26,2018-03-03 20:30:00,Piast Gliwice,Górnik Zabrze,50,50,8,8,2,2,6,6,6,4,2,2,2,2,15,13,1,2,0,0,0,3,L
1501,2017-2018,26,2018-04-03 15:30:00,Cracovia,Arka Gdynia,50,50,11,7,6,4,5,3,8,7,1,2,3,4,10,20,1,1,0,0,2,1,W
1502,2017-2018,26,2018-04-03 18:00:00,Legia Warszawa,Lech Poznań,58,42,12,12,5,7,7,5,3,8,1,6,6,3,19,18,4,2,0,0,2,1,W
1503,2017-2018,26,2018-05-03 18:00:00,Jagiellonia Białystok,Wisła Kraków,53,47,8,6,3,2,5,4,9,2,0,1,2,1,14,14,3,2,0,0,2,0,W
1504,2017-2018,27,2018-09-03 18:00:00,Górnik Zabrze,Zagłębie Lubin,43,57,10,8,3,2,7,6,5,2,3,1,0,1,17,15,0,4,0,1,2,2,D
1505,2017-2018,27,2018-09-03 20:30:00,Wisła Kraków,Śląsk Wrocław,59,41,10,11,6,8,4,3,5,9,2,4,7,3,14,17,3,2,0,0,3,1,W
1506,2017-2018,27,2018-10-03 15:30:00,Sandecja Nowy Sącz,Piast Gliwice,49,51,5,10,2,4,3,6,7,1,1,1,1,2,19,14,7,4,1,0,0,3,L
1507,2017-2018,27,2018-10-03 18:00:00,Pogoń Szczecin,Cracovia,76,24,11,11,4,7,7,4,12,3,0,1,4,4,22,17,4,2,0,0,0,3,L
1508,2017-2018,27,2018-10-03 20:30:00,Wisła Płock,Korona Kielce,42,58,8,15,4,1,4,14,4,4,0,2,1,2,15,14,4,0,0,0,2,0,W
1509,2017-2018,27,2018-11-03 15:30:00,Lech Poznań,Jagiellonia Białystok,46,54,24,10,10,3,14,7,11,3,4,0,2,5,10,14,1,3,0,0,5,1,W
1510,2017-2018,27,2018-11-03 18:00:00,Lechia Gdańsk,Legia Warszawa,48,52,13,15,6,9,7,6,4,8,4,3,6,5,16,15,3,3,0,0,1,3,L
1511,2017-2018,27,2018-12-03 18:00:00,Arka Gdynia,Bruk-Bet T.,46,54,14,17,9,3,5,14,6,2,2,5,3,5,11,15,2,2,0,0,4,0,W
1512,2017-2018,28,2018-03-16 18:00:00,Piast Gliwice,Zagłębie Lubin,63,37,6,6,3,3,3,3,3,2,4,4,3,3,13,12,2,1,0,0,0,0,D
1513,2017-2018,28,2018-03-16 20:30:00,Lech Poznań,Lechia Gdańsk,49,51,8,4,7,3,1,1,3,3,1,3,3,4,13,16,2,4,0,0,3,0,W
1514,2017-2018,28,2018-03-17 15:30:00,Bruk-Bet T.,Pogoń Szczecin,44,56,11,10,7,8,4,2,3,7,0,2,4,5,17,10,2,3,0,0,2,4,L
1515,2017-2018,28,2018-03-17 18:00:00,Jagiellonia Białystok,Arka Gdynia,55,45,23,6,10,2,13,4,9,2,2,0,1,7,9,18,3,2,0,0,3,2,W
1516,2017-2018,28,2018-03-17 20:30:00,Korona Kielce,Górnik Zabrze,35,65,5,12,3,4,2,8,2,5,2,6,2,1,19,12,5,2,1,0,2,2,D
1517,2017-2018,28,2018-03-18 15:30:00,Cracovia,Sandecja Nowy Sącz,53,47,12,6,7,1,5,5,3,4,3,0,0,5,13,24,2,4,0,0,2,1,W
1518,2017-2018,28,2018-03-18 15:30:00,Śląsk Wrocław,Wisła Płock,44,56,4,8,2,4,2,4,5,2,0,1,3,1,17,17,1,1,0,0,1,1,D
1519,2017-2018,28,2018-03-18 18:00:00,Legia Warszawa,Wisła Kraków,56,44,11,7,7,3,4,4,8,2,2,3,1,7,5,8,3,3,0,0,0,2,L
1520,2017-2018,29,2018-02-04 15:30:00,Wisła Płock,Piast Gliwice,54,46,11,6,5,4,6,2,8,7,2,1,4,4,17,15,0,1,0,0,1,0,W
1521,2017-2018,29,2018-02-04 15:30:00,Zagłębie Lubin,Jagiellonia Białystok,41,59,9,11,4,5,5,6,6,8,5,1,5,3,14,12,0,1,0,0,1,0,W
1522,2017-2018,29,2018-02-04 18:00:00,Pogoń Szczecin,Śląsk Wrocław,51,49,12,9,7,3,5,6,4,4,1,2,1,4,19,16,3,3,0,0,3,2,W
1523,2017-2018,29,2018-02-04 18:00:00,Wisła Kraków,Lech Poznań,46,54,5,11,4,7,1,4,1,6,1,1,4,3,15,14,3,3,0,0,1,3,L
1524,2017-2018,29,2018-03-31 15:30:00,Bruk-Bet T.,Cracovia,66,34,7,4,4,1,3,3,4,3,2,0,1,2,17,11,1,1,0,0,2,0,W
1525,2017-2018,29,2018-03-31 15:30:00,Górnik Zabrze,Sandecja Nowy Sącz,62,38,19,12,9,6,10,6,9,3,1,1,4,7,17,13,1,1,0,0,2,2,D
1526,2017-2018,29,2018-03-31 18:00:00,Korona Kielce,Lechia Gdańsk,57,43,9,5,6,1,3,4,3,9,4,3,1,5,11,15,3,3,0,0,1,0,W
1527,2017-2018,29,2018-03-31 20:30:00,Arka Gdynia,Legia Warszawa,44,56,12,4,5,1,7,3,6,4,2,3,1,4,24,16,5,2,0,0,1,0,W
1528,2017-2018,30,2018-07-04 18:00:00,Cracovia,Zagłębie Lubin,47,53,12,11,7,7,5,4,3,5,0,2,5,5,11,17,2,6,0,0,2,2,D
1529,2017-2018,30,2018-07-04 18:00:00,Jagiellonia Białystok,Wisła Płock,55,45,12,11,3,7,9,4,2,3,0,1,4,2,13,14,5,4,0,0,1,3,L
1530,2017-2018,30,2018-07-04 18:00:00,Lech Poznań,Górnik Zabrze,56,44,13,6,7,3,6,3,8,1,3,1,2,4,10,20,1,1,0,0,3,1,W
1531,2017-2018,30,2018-07-04 18:00:00,Lechia Gdańsk,Arka Gdynia,44,56,9,9,6,5,3,4,6,5,4,1,3,2,18,15,2,1,0,0,4,2,W
1532,2017-2018,30,2018-07-04 18:00:00,Legia Warszawa,Pogoń Szczecin,58,42,7,5,4,4,3,1,4,3,6,8,4,1,12,19,1,0,0,0,3,0,W
1533,2017-2018,30,2018-07-04 18:00:00,Piast Gliwice,Bruk-Bet T.,53,47,7,8,4,3,3,5,4,2,0,0,2,3,14,18,1,1,0,0,1,1,D
1534,2017-2018,30,2018-07-04 18:00:00,Sandecja Nowy Sącz,Wisła Kraków,44,56,7,4,4,2,3,2,4,11,1,1,2,4,11,25,1,3,0,0,0,0,D
1535,2017-2018,30,2018-07-04 18:00:00,Śląsk Wrocław,Korona Kielce,41,59,5,4,3,2,2,2,2,6,2,1,1,2,11,13,1,2,0,0,1,1,D
1536,2017-2018,31,2018-04-13 18:00:00,Arka Gdynia,Lechia Gdańsk,53,47,14,6,7,5,7,1,7,3,1,3,3,6,18,13,5,6,0,0,1,2,L
1537,2017-2018,31,2018-04-13 20:30:00,Lech Poznań,Korona Kielce,59,41,13,6,6,3,7,3,4,1,0,3,2,6,13,25,3,4,0,0,0,1,L
1538,2017-2018,31,2018-04-14 15:30:00,Cracovia,Piast Gliwice,43,57,11,7,5,3,6,4,7,6,2,1,2,3,11,18,1,2,0,0,2,1,W
1539,2017-2018,31,2018-04-14 18:00:00,Jagiellonia Białystok,Górnik Zabrze,48,52,8,7,2,5,6,2,1,3,0,5,3,1,12,17,2,1,0,0,1,2,L
1540,2017-2018,31,2018-04-14 20:30:00,Legia Warszawa,Zagłębie Lubin,55,45,14,13,4,8,10,5,5,10,3,3,7,4,13,14,1,2,0,0,0,1,L
1541,2017-2018,31,2018-04-15 15:30:00,Pogoń Szczecin,Bruk-Bet T.,58,42,19,8,10,2,9,6,10,6,2,1,2,8,12,9,0,1,0,0,2,0,W
1542,2017-2018,31,2018-04-15 18:00:00,Śląsk Wrocław,Sandecja Nowy Sącz,56,44,9,6,4,2,5,4,6,5,1,1,2,3,16,12,3,3,1,0,1,0,W
1543,2017-2018,31,2018-04-16 18:00:00,Wisła Płock,Wisła Kraków,42,58,7,8,5,7,2,1,3,2,7,2,5,3,16,12,2,4,0,0,2,2,D
1544,2017-2018,32,2018-04-20 18:00:00,Bruk-Bet T.,Śląsk Wrocław,45,55,14,8,5,6,9,2,9,4,1,2,4,4,17,15,2,3,1,0,1,2,L
1545,2017-2018,32,2018-04-20 20:30:00,Zagłębie Lubin,Lech Poznań,71,29,14,12,0,4,14,8,2,1,1,0,3,0,13,18,5,5,0,0,0,1,L
1546,2017-2018,32,2018-04-21 15:30:00,Piast Gliwice,Pogoń Szczecin,48,52,5,11,1,4,4,7,4,4,2,1,4,1,7,19,1,2,0,0,0,0,D
1547,2017-2018,32,2018-04-21 18:00:00,Górnik Zabrze,Wisła Płock,48,52,9,9,4,4,5,5,5,6,3,1,3,4,17,15,3,2,0,0,0,1,L
1548,2017-2018,32,2018-04-21 20:30:00,Korona Kielce,Jagiellonia Białystok,68,32,10,10,4,7,6,3,3,2,2,1,4,4,14,17,3,3,0,0,0,3,L
1549,2017-2018,32,2018-04-22 15:30:00,Sandecja Nowy Sącz,Arka Gdynia,50,50,10,10,3,1,7,9,5,3,2,1,0,2,14,12,4,3,0,0,3,1,W
1550,2017-2018,32,2018-04-22 18:00:00,Wisła Kraków,Legia Warszawa,49,51,5,11,2,3,3,8,3,4,2,6,2,2,18,13,3,4,0,1,0,1,L
1551,2017-2018,32,2018-04-23 18:00:00,Lechia Gdańsk,Cracovia,59,41,6,12,1,3,5,9,8,5,4,0,3,1,20,7,3,2,0,0,0,0,D
1552,2017-2018,33,2018-04-27 18:00:00,Arka Gdynia,Piast Gliwice,53,47,9,11,3,9,6,2,7,7,0,2,4,2,12,14,1,2,1,0,1,5,L
1553,2017-2018,33,2018-04-27 20:30:00,Legia Warszawa,Korona Kielce,66,34,7,6,6,5,1,1,3,3,2,7,4,3,15,23,1,2,0,1,3,1,W
1554,2017-2018,33,2018-04-28 15:30:00,Wisła Płock,Zagłębie Lubin,54,46,12,9,5,3,7,6,5,9,1,3,1,4,15,17,1,0,0,0,1,2,L
1555,2017-2018,33,2018-04-28 18:00:00,Pogoń Szczecin,Sandecja Nowy Sącz,55,45,19,8,6,2,13,6,9,2,3,1,2,4,15,17,2,1,0,0,2,0,W
1556,2017-2018,33,2018-04-28 20:30:00,Lech Poznań,Górnik Zabrze,70,30,18,15,7,9,11,6,9,2,1,0,5,5,11,17,3,4,0,0,2,4,L
1557,2017-2018,33,2018-04-29 15:30:00,Cracovia,Bruk-Bet T.,51,49,13,9,7,3,6,6,1,4,0,0,1,3,11,21,3,4,0,1,4,2,W
1558,2017-2018,33,2018-04-29 18:00:00,Jagiellonia Białystok,Wisła Kraków,52,48,18,8,4,3,14,5,14,5,2,3,2,4,10,10,2,4,0,0,0,1,L
1559,2017-2018,33,2018-04-30 18:00:00,Śląsk Wrocław,Lechia Gdańsk,31,69,10,10,5,3,5,7,2,4,2,1,2,2,18,13,4,4,0,0,3,1,W
1560,2017-2018,34,2018-04-05 18:00:00,Cracovia,Śląsk Wrocław,43,57,16,10,6,5,10,5,4,5,0,1,2,3,11,10,1,2,0,0,3,3,D
1561,2017-2018,34,2018-04-05 20:30:00,Lechia Gdańsk,Bruk-Bet T.,53,47,6,10,1,4,5,6,7,6,2,2,3,1,16,16,2,2,0,0,0,1,L
1562,2017-2018,34,2018-05-05 15:30:00,Sandecja Nowy Sącz,Piast Gliwice,55,45,12,10,3,3,9,7,2,4,1,2,2,1,20,15,0,3,0,0,2,1,W
1563,2017-2018,34,2018-05-05 18:00:00,Pogoń Szczecin,Arka Gdynia,49,51,16,9,7,4,9,5,3,5,2,1,2,4,15,19,2,6,0,1,3,2,W
1564,2017-2018,34,2018-05-05 20:30:00,Wisła Płock,Lech Poznań,47,53,3,13,2,4,1,9,3,5,1,1,4,2,17,16,3,2,0,0,0,0,D
1565,2017-2018,34,2018-06-05 15:30:00,Korona Kielce,Wisła Kraków,63,37,14,8,2,4,12,4,11,2,4,1,1,2,12,16,3,4,0,0,0,3,L
1566,2017-2018,34,2018-06-05 15:30:00,Zagłębie Lubin,Górnik Zabrze,66,34,15,12,3,4,12,8,11,0,1,0,2,3,21,11,2,1,0,0,0,2,L
1567,2017-2018,34,2018-06-05 18:00:00,Jagiellonia Białystok,Legia Warszawa,61,39,13,1,1,0,12,1,5,2,4,5,1,1,13,11,1,3,0,0,0,0,D
1568,2017-2018,35,2018-08-05 18:00:00,Bruk-Bet T.,Sandecja Nowy Sącz,44,56,12,11,4,2,8,9,6,8,0,1,1,3,15,15,3,3,0,0,1,1,D
1569,2017-2018,35,2018-08-05 18:00:00,Piast Gliwice,Lechia Gdańsk,60,40,16,5,4,4,12,1,11,1,2,1,2,4,15,13,1,2,0,0,0,2,L
1570,2017-2018,35,2018-08-05 20:30:00,Arka Gdynia,Cracovia,52,48,12,12,5,4,7,8,6,2,0,1,4,3,26,20,2,4,0,0,2,0,W
1571,2017-2018,35,2018-08-05 20:30:00,Śląsk Wrocław,Pogoń Szczecin,50,50,12,9,5,2,7,7,6,2,5,2,2,3,17,12,3,2,0,1,2,0,W
1572,2017-2018,35,2018-09-05 18:00:00,Górnik Zabrze,Korona Kielce,51,49,17,9,4,2,13,7,10,6,2,2,0,2,8,22,2,3,0,0,2,2,D
1573,2017-2018,35,2018-09-05 18:00:00,Legia Warszawa,Wisła Płock,41,59,11,11,5,7,6,4,2,5,0,1,5,2,15,14,3,4,1,0,3,2,W
1574,2017-2018,35,2018-09-05 20:30:00,Lech Poznań,Jagiellonia Białystok,63,37,13,7,2,2,11,5,2,2,1,3,0,2,16,19,1,2,0,0,0,2,L
1575,2017-2018,35,2018-09-05 20:30:00,Wisła Kraków,Zagłębie Lubin,34,66,12,12,6,2,6,10,2,12,1,2,2,3,13,12,3,3,0,0,3,0,W
1576,2017-2018,36,2018-05-13 18:00:00,Legia Warszawa,Górnik Zabrze,58,42,10,13,6,4,4,9,8,4,4,4,4,4,16,13,4,2,1,0,2,0,W
1577,2017-2018,36,2018-05-13 18:00:00,Wisła Kraków,Lech Poznań,62,38,9,9,2,4,7,5,6,4,1,2,3,1,17,14,2,4,0,0,1,1,D
1578,2017-2018,36,2018-05-13 18:00:00,Wisła Płock,Korona Kielce,50,50,14,6,8,4,6,2,6,3,2,2,3,4,18,10,2,3,0,1,4,1,W
1579,2017-2018,36,2018-05-13 18:00:00,Zagłębie Lubin,Jagiellonia Białystok,54,46,12,12,5,4,7,8,4,5,1,0,3,4,12,14,3,3,0,0,1,2,L
1580,2017-2018,36,2018-12-05 15:30:00,Bruk-Bet T.,Arka Gdynia,45,55,14,16,6,6,8,10,3,5,2,2,5,4,13,6,0,0,0,0,2,1,W
1581,2017-2018,36,2018-12-05 15:30:00,Pogoń Szczecin,Lechia Gdańsk,52,48,12,10,3,7,9,3,3,4,0,1,6,2,19,9,4,4,0,0,1,1,D
1582,2017-2018,36,2018-12-05 15:30:00,Sandecja Nowy Sącz,Cracovia,55,45,13,13,5,3,8,10,9,6,1,0,2,5,17,8,3,0,0,0,0,1,L
1583,2017-2018,36,2018-12-05 15:30:00,Śląsk Wrocław,Piast Gliwice,42,58,10,22,3,4,7,18,4,6,1,2,3,0,10,8,0,1,0,0,3,1,W
1584,2017-2018,37,2018-05-19 18:00:00,Arka Gdynia,Śląsk Wrocław,64,36,14,9,4,2,10,7,6,3,4,2,1,4,14,17,2,4,0,0,0,1,L
1585,2017-2018,37,2018-05-19 18:00:00,Cracovia,Pogoń Szczecin,54,46,14,17,4,9,10,8,9,2,2,3,5,3,16,23,2,4,0,0,1,4,L
1586,2017-2018,37,2018-05-19 18:00:00,Lechia Gdańsk,Sandecja Nowy Sącz,53,47,18,14,10,2,8,12,5,6,1,0,2,9,15,23,2,3,0,0,1,1,D
1587,2017-2018,37,2018-05-19 18:00:00,Piast Gliwice,Bruk-Bet T.,44,56,15,13,7,6,8,7,1,8,3,1,6,3,17,13,3,0,0,0,4,0,W
1588,2017-2018,37,2018-05-20 18:00:00,Górnik Zabrze,Wisła Kraków,43,57,8,9,3,4,5,5,4,8,3,1,4,1,13,17,4,4,0,0,2,0,W
1589,2017-2018,37,2018-05-20 18:00:00,Jagiellonia Białystok,Wisła Płock,52,48,12,14,5,4,7,10,4,4,2,6,3,3,18,17,2,7,0,1,2,1,W
1590,2017-2018,37,2018-05-20 18:00:00,Korona Kielce,Zagłębie Lubin,41,59,6,17,3,6,3,11,3,6,0,2,4,3,15,16,3,1,0,0,0,2,L
1591,2017-2018,37,2018-05-20 18:00:00,Lech Poznań,Legia Warszawa,63,37,8,5,2,4,6,1,15,4,0,4,4,2,11,11,2,0,0,0,0,3,L
1592,2018-2019,1,2018-07-20 18:00:00,Miedź Legnica,Pogoń Szczecin,52,48,14,15,3,3,11,12,2,4,2,4,3,6,9,15,1,1,0,0,1,0,W
1593,2018-2019,1,2018-07-20 20:30:00,Jagiellonia Białystok,Lechia Gdańsk,55,45,18,8,7,2,11,6,3,2,1,1,1,7,12,18,2,5,1,1,0,1,L
1594,2018-2019,1,2018-07-21 15:30:00,Śląsk Wrocław,Cracovia,50,50,18,14,6,4,12,10,5,1,1,0,4,3,11,19,1,3,0,0,3,1,W
1595,2018-2019,1,2018-07-21 18:00:00,Wisła Kraków,Arka Gdynia,60,40,23,6,3,1,20,5,7,1,2,1,1,3,11,22,0,1,0,0,0,0,D
1596,2018-2019,1,2018-07-21 20:30:00,Legia Warszawa,Zagłębie Lubin,60,40,15,7,5,5,10,2,4,5,1,3,2,4,13,11,2,1,0,0,1,3,L
1597,2018-2019,1,2018-07-22 15:30:00,Górnik Zabrze,Korona Kielce,45,55,11,21,4,8,7,13,3,5,2,1,7,3,15,16,2,3,0,0,1,1,D
1598,2018-2019,1,2018-07-22 18:00:00,Wisła Płock,Lech Poznań,52,48,15,7,6,3,9,4,5,2,4,1,1,5,13,14,1,2,0,0,1,2,L
1599,2018-2019,1,2018-07-23 18:00:00,Zagłębie Sosnowiec,Piast Gliwice,49,51,13,18,4,2,9,16,4,4,1,2,0,3,14,12,0,0,0,0,1,2,L
1600,2018-2019,2,2018-07-27 18:00:00,Lechia Gdańsk,Śląsk Wrocław,51,49,14,12,2,4,12,8,4,9,0,3,3,1,20,8,4,0,0,0,1,1,D
1601,2018-2019,2,2018-07-27 20:30:00,Wisła Kraków,Miedź Legnica,57,43,15,9,5,6,10,3,6,7,0,2,5,3,21,15,4,3,0,0,2,1,W
1602,2018-2019,2,2018-07-28 18:00:00,Zagłębie Lubin,Zagłębie Sosnowiec,61,39,21,10,7,3,14,7,5,4,3,2,2,5,14,23,3,3,0,0,2,1,W
1603,2018-2019,2,2018-07-28 20:30:00,Korona Kielce,Legia Warszawa,50,50,13,11,3,7,10,4,5,6,1,2,5,2,20,10,4,2,0,0,1,2,L
1604,2018-2019,2,2018-07-29 15:30:00,Górnik Zabrze,Wisła Płock,40,60,9,17,3,4,6,13,3,9,1,3,3,2,13,12,0,0,0,0,1,1,D
1605,2018-2019,2,2018-07-29 18:00:00,Arka Gdynia,Jagiellonia Białystok,64,36,9,18,2,4,7,14,9,2,3,0,2,2,10,10,3,2,0,0,0,2,L
