,Season,Round,Date,Team_Home,Team_Away,Ball_possession_home,Ball_possession_away,Goal_sit_home,Goal_sit_away,Shots_target_home,Shots_target_away,Shots_no_target_home,Shots_no_target_away,Corners_home,Corners_away,Offsides_home,Offsides_away,GK_inter_home,GK_inter_away,Fauls_home,Fauls_away,Yellow_home,Yellow_away,Red_home,Red_away,Goals_home,Goals_away,Result
65,2012-2013,25,2013-03-05 20:45:00,Korona Kielce,Polonia Warszawa,64,36,13,9,5,5,8,4,6,2,1,0,4,4,7,11,2,6,0,1,1,1,D
66,2012-2013,25,2013-04-05 13:30:00,Widzew Łódź,Jagiellonia Białystok,44,56,9,9,7,2,2,7,4,5,1,5,2,4,13,7,2,2,0,0,3,0,W
67,2012-2013,25,2013-04-05 15:45:00,GKS Bełchatów,Górnik Zabrze,40,60,7,11,3,5,4,6,1,4,5,0,5,1,13,10,0,2,0,0,2,0,W
68,2012-2013,25,2013-04-05 18:00:00,Lech Poznań,Wisła Kraków,55,45,7,6,1,0,6,6,4,8,0,2,0,0,10,16,1,3,0,0,1,0,W
69,2012-2013,25,2013-05-05 14:30:00,Legia Warszawa,Lechia Gdańsk,58,47,13,3,7,1,6,2,5,3,7,1,1,6,9,13,2,3,0,0,1,0,W
70,2012-2013,25,2013-05-05 17:00:00,Śląsk Wrocław,Pogoń Szczecin,54,46,10,4,1,0,9,4,4,5,5,1,0,0,9,13,2,0,0,0,1,0,W
71,2012-2013,25,2013-06-05 18:30:00,Ruch Chorzów,Piast Gliwice,54,46,8,10,1,7,7,3,3,7,0,1,5,0,5,11,0,1,0,0,1,2,L
72,2012-2013,26,2013-05-13 18:30:00,Zagłębie Lubin,Górnik Zabrze,50,50,9,10,3,2,6,8,7,7,3,1,0,2,11,12,4,3,1,0,1,2,L
73,2012-2013,26,2013-10-05 18:00:00,Polonia Warszawa,Podbeskidzie B-B,58,42,13,8,6,6,7,2,6,2,3,6,5,4,15,8,1,1,0,0,2,1,W
74,2012-2013,26,2013-10-05 20:45:00,Lech Poznań,Widzew Łódź,55,45,13,6,8,2,5,4,8,7,6,2,2,4,18,2,1,1,0,0,4,0,W
75,2012-2013,26,2013-11-05 13:30:00,Pogoń Szczecin,GKS Bełchatów,53,47,8,11,2,8,6,3,9,4,1,0,7,2,5,14,2,7,0,1,0,1,L
76,2012-2013,26,2013-11-05 15:45:00,Wisła Kraków,Korona Kielce,53,49,12,4,7,3,5,1,6,6,0,3,3,4,5,9,0,2,0,0,3,0,W
77,2012-2013,26,2013-11-05 18:00:00,Jagiellonia Białystok,Legia Warszawa,43,56,2,13,1,8,1,5,2,5,0,3,5,1,8,3,1,0,1,0,0,3,L
78,2012-2013,26,2013-12-05 14:30:00,Piast Gliwice,Śląsk Wrocław,37,63,11,15,5,6,6,9,5,3,0,1,4,4,7,10,1,2,1,0,3,2,W
79,2012-2013,26,2013-12-05 17:00:00,Lechia Gdańsk,Ruch Chorzów,55,45,14,8,7,6,7,2,6,2,1,0,2,3,5,3,3,2,0,0,4,4,D
80,2012-2013,27,2013-05-17 18:00:00,Ruch Chorzów,Pogoń Szczecin,52,48,12,8,6,4,6,4,10,2,3,4,1,4,9,12,1,4,0,0,2,3,L
81,2012-2013,27,2013-05-17 20:45:00,Śląsk Wrocław,Wisła Kraków,53,47,12,7,5,3,7,4,3,7,3,0,3,2,15,10,2,3,0,0,3,0,W
82,2012-2013,27,2013-05-18 13:30:00,Legia Warszawa,Lech Poznań,56,44,8,8,5,4,3,4,6,5,1,2,4,4,16,14,3,3,0,1,1,0,W
83,2012-2013,27,2013-05-18 15:45:00,Podbeskidzie B-B,Piast Gliwice,49,51,11,5,3,2,8,3,6,6,3,5,0,2,15,15,2,6,0,0,1,2,L
84,2012-2013,27,2013-05-18 18:00:00,Górnik Zabrze,Polonia Warszawa,56,44,9,10,1,7,8,3,8,5,1,3,3,1,13,10,1,1,0,0,0,4,L
85,2012-2013,27,2013-05-19 14:30:00,GKS Bełchatów,Zagłębie Lubin,51,49,8,10,7,6,1,4,4,5,0,0,4,4,6,3,1,2,0,0,3,2,W
86,2012-2013,27,2013-05-19 17:00:00,Korona Kielce,Jagiellonia Białystok,56,44,10,2,7,2,3,0,4,5,2,0,2,2,4,9,1,2,0,1,5,0,W
87,2012-2013,27,2013-05-20 18:30:00,Widzew Łódź,Lechia Gdańsk,54,46,7,7,2,4,5,3,3,5,0,5,2,1,14,13,2,4,0,0,1,2,L
88,2012-2013,28,2013-05-23 20:45:00,Piast Gliwice,Korona Kielce,41,59,3,15,2,6,1,9,3,9,1,4,5,1,8,5,3,3,1,0,1,1,D
89,2012-2013,28,2013-05-24 18:00:00,Wisła Kraków,Ruch Chorzów,58,42,6,6,2,2,4,4,3,3,3,1,1,1,15,13,3,2,0,0,1,1,D
90,2012-2013,28,2013-05-24 20:45:00,Widzew Łódź,Legia Warszawa,35,65,11,9,7,6,4,3,2,2,2,2,5,6,17,15,1,2,0,0,1,1,D
91,2012-2013,28,2013-05-25 13:30:00,Lechia Gdańsk,GKS Bełchatów,52,48,11,7,6,4,5,3,8,2,5,3,3,5,8,9,0,0,0,0,1,1,D
92,2012-2013,28,2013-05-25 15:45:00,Lech Poznań,Podbeskidzie B-B,70,30,18,10,8,5,10,5,4,2,2,2,3,8,12,5,4,3,0,0,0,2,L
93,2012-2013,28,2013-05-26 14:30:00,Pogoń Szczecin,Górnik Zabrze,42,58,12,12,5,6,7,6,10,4,2,2,6,4,6,11,2,2,0,0,1,0,W
94,2012-2013,28,2013-05-26 17:00:00,Jagiellonia Białystok,Śląsk Wrocław,38,62,6,12,3,4,3,8,5,4,4,3,1,3,7,9,1,0,0,0,0,3,L
95,2012-2013,28,2013-05-27 18:30:00,Zagłębie Lubin,Polonia Warszawa,56,44,7,12,5,5,2,7,4,6,2,2,5,5,8,9,0,2,0,0,0,0,D
96,2012-2013,29,2013-05-30 18:00:00,Górnik Zabrze,Wisła Kraków,54,46,12,7,4,1,8,6,13,6,1,2,2,5,3,5,0,0,0,0,0,1,L
97,2012-2013,29,2013-05-30 18:00:00,Podbeskidzie B-B,Pogoń Szczecin,46,46,11,8,3,1,8,7,7,3,1,4,0,1,18,21,3,5,0,1,2,1,W
98,2012-2013,29,2013-05-30 18:00:00,Polonia Warszawa,Piast Gliwice,50,48,9,7,7,5,2,2,15,6,1,1,4,6,9,6,4,2,2,1,1,1,D
99,2012-2013,29,2013-05-30 18:00:00,Ruch Chorzów,Legia Warszawa,53,56,5,10,1,5,4,5,0,9,2,7,5,1,11,4,2,0,0,0,0,0,D
100,2012-2013,29,2013-05-30 18:00:00,Śląsk Wrocław,Lech Poznań,54,49,10,9,5,4,5,5,6,5,1,2,3,4,6,4,2,1,0,0,1,1,D
101,2012-2013,29,2013-05-30 18:00:00,Zagłębie Lubin,Lechia Gdańsk,54,47,13,9,7,4,6,5,7,3,1,0,1,7,6,5,2,1,0,0,0,3,L
102,2012-2013,29,2013-05-30 18:45:00,GKS Bełchatów,Jagiellonia Białystok,50,50,9,10,2,5,7,5,3,7,3,0,4,1,4,12,2,1,0,0,1,1,D
103,2012-2013,29,2013-05-30 18:45:00,Korona Kielce,Widzew Łódź,54,44,10,3,2,1,8,2,8,1,1,1,1,2,12,11,1,3,0,0,0,0,D
104,2012-2013,30,2013-02-06 16:00:00,Jagiellonia Białystok,Ruch Chorzów,49,51,15,10,9,4,6,6,2,3,2,2,4,8,6,11,0,1,0,0,1,0,W
105,2012-2013,30,2013-02-06 16:00:00,Lech Poznań,Korona Kielce,50,50,17,4,11,2,6,2,8,3,0,0,2,9,8,10,0,0,0,0,2,0,W
106,2012-2013,30,2013-02-06 16:00:00,Lechia Gdańsk,Górnik Zabrze,43,57,13,14,6,8,7,6,2,4,2,2,6,6,8,5,2,2,0,0,0,2,L
