,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
48,2017-2018,31,16.04.2018 18:00,Wisła Płock,Wisła Kraków,42%,58%,7,8,5,7,2,1,3,2,7,2,5,3,16,12,2,4,158,173,92,89,,,,,,,2,2
49,2017-2018,31,15.04.2018 18:00,Śląsk Wrocław,Sandecja Nowy Sącz,56%,44%,9,6,4,2,5,4,6,5,1,1,2,3,16,12,3,3,98,100,63,62,1,0,,,,,1,0
50,2017-2018,31,15.04.2018 15:30,Pogoń Szczecin,Bruk-Bet T.,58%,42%,19,8,10,2,9,6,10,6,2,1,2,8,12,9,0,1,76,66,48,30,,,,,,,2,0
51,2017-2018,31,14.04.2018 20:30,Legia Warszawa,Zagłębie Lubin,55%,45%,14,13,4,8,10,5,5,10,3,3,7,4,13,14,1,2,90,74,74,56,,,,,,,0,1
52,2017-2018,31,14.04.2018 18:00,Jagiellonia Białystok,Górnik Zabrze,48%,52%,8,7,2,5,6,2,1,3,0,5,3,1,12,17,2,1,85,79,49,46,,,,,,,1,2
53,2017-2018,31,14.04.2018 15:30,Cracovia,Piast Gliwice,43%,57%,11,7,5,3,6,4,7,6,2,1,2,3,11,18,1,2,95,86,62,64,,,,,,,2,1
54,2017-2018,31,13.04.2018 20:30,Lech Poznań,Korona Kielce,59%,41%,13,6,6,3,7,3,4,1,0,3,2,6,13,25,3,4,110,91,69,28,,,,,,,0,1
55,2017-2018,31,13.04.2018 18:00,Arka Gdynia,Lechia Gdańsk,53%,47%,14,6,7,5,7,1,7,3,1,3,3,6,18,13,5,6,111,92,95,53,,,,,,,1,2
56,2017-2018,30,07.04.2018 18:00,Cracovia,Zagłębie Lubin,47%,53%,12,11,7,7,5,4,3,5,0,2,5,5,11,17,2,6,81,99,46,42,,,23,32,20,14,2,2
57,2017-2018,30,07.04.2018 18:00,Jagiellonia Białystok,Wisła Płock,55%,45%,12,11,3,7,9,4,2,3,0,1,4,2,13,14,5,4,131,88,84,37,,,33,27,12,13,1,3
58,2017-2018,30,07.04.2018 18:00,Lech Poznań,Górnik Zabrze,56%,44%,13,6,7,3,6,3,8,1,3,1,2,4,10,20,1,1,124,101,81,46,,,36,29,21,13,3,1
59,2017-2018,30,07.04.2018 18:00,Lechia Gdańsk,Arka Gdynia,44%,56%,9,9,6,5,3,4,6,5,4,1,3,2,18,15,2,1,92,102,66,53,,,35,34,16,22,4,2
60,2017-2018,30,07.04.2018 18:00,Legia Warszawa,Pogoń Szczecin,58%,42%,7,5,4,4,3,1,4,3,6,8,4,1,12,19,1,0,125,92,65,53,,,25,30,27,18,3,0
61,2017-2018,30,07.04.2018 18:00,Piast Gliwice,Bruk-Bet T.,53%,47%,7,8,4,3,3,5,4,2,0,0,2,3,14,18,1,1,101,105,68,64,,,24,20,18,15,1,1
62,2017-2018,30,07.04.2018 18:00,Sandecja Nowy Sącz,Wisła Kraków,44%,56%,7,4,4,2,3,2,4,11,1,1,2,4,11,25,1,3,69,75,38,75,,,19,35,26,12,0,0
63,2017-2018,30,07.04.2018 18:00,Śląsk Wrocław,Korona Kielce,41%,59%,5,4,3,2,2,2,2,6,2,1,1,2,11,13,1,2,66,86,33,47,,,13,23,14,13,1,1
64,2017-2018,29,02.04.2018 18:00,Pogoń Szczecin,Śląsk Wrocław,51%,49%,12,9,7,3,5,6,4,4,1,2,1,4,19,16,3,3,152,127,74,59,,,,,,,3,2
65,2017-2018,29,02.04.2018 18:00,Wisła Kraków,Lech Poznań,46%,54%,5,11,4,7,1,4,1,6,1,1,4,3,15,14,3,3,99,83,45,49,,,,,,,1,3
66,2017-2018,29,02.04.2018 15:30,Wisła Płock,Piast Gliwice,54%,46%,11,6,5,4,6,2,8,7,2,1,4,4,17,15,0,1,152,178,104,84,,,0,3,,,1,0
67,2017-2018,29,02.04.2018 15:30,Zagłębie Lubin,Jagiellonia Białystok,41%,59%,9,11,4,5,5,6,6,8,5,1,5,3,14,12,0,1,103,109,63,67,,,,,,,1,0
68,2017-2018,29,31.03.2018 20:30,Arka Gdynia,Legia Warszawa,44%,56%,12,4,5,1,7,3,6,4,2,3,1,4,24,16,5,2,84,95,62,46,,,,,,,1,0
69,2017-2018,29,31.03.2018 18:00,Korona Kielce,Lechia Gdańsk,57%,43%,9,5,6,1,3,4,3,9,4,3,1,5,11,15,3,3,51,50,43,41,,,,,,,1,0
70,2017-2018,29,31.03.2018 15:30,Bruk-Bet T.,Cracovia,66%,34%,7,4,4,1,3,3,4,3,2,0,1,2,17,11,1,1,102,102,62,62,,,,,,,2,0
71,2017-2018,29,31.03.2018 15:30,Górnik Zabrze,Sandecja Nowy Sącz,62%,38%,19,12,9,6,10,6,9,3,1,1,4,7,17,13,1,1,75,51,63,25,,,,,,,2,2
72,2017-2018,28,18.03.2018 18:00,Legia Warszawa,Wisła Kraków,56%,44%,11,7,7,3,4,4,8,2,2,3,1,7,5,8,3,3,104,87,92,48,,,,,,,0,2
73,2017-2018,28,18.03.2018 15:30,Cracovia,Sandecja Nowy Sącz,53%,47%,12,6,7,1,5,5,3,4,3,0,0,5,13,24,2,4,115,89,54,35,,,,,,,2,1
74,2017-2018,28,18.03.2018 15:30,Śląsk Wrocław,Wisła Płock,44%,56%,4,8,2,4,2,4,5,2,0,1,3,1,17,17,1,1,97,90,56,53,,,,,,,1,1
75,2017-2018,28,17.03.2018 20:30,Korona Kielce,Górnik Zabrze,35%,65%,5,12,3,4,2,8,2,5,2,6,2,1,19,12,5,2,80,104,31,75,1,0,,,,,2,2
76,2017-2018,28,17.03.2018 18:00,Jagiellonia Białystok,Arka Gdynia,55%,45%,23,6,10,2,13,4,9,2,2,0,1,7,9,18,3,2,119,83,78,36,,,,,,,3,2
77,2017-2018,28,17.03.2018 15:30,Bruk-Bet T.,Pogoń Szczecin,44%,56%,11,10,7,8,4,2,3,7,0,2,4,5,17,10,2,3,116,111,56,75,,,,,,,2,4
78,2017-2018,28,16.03.2018 20:30,Lech Poznań,Lechia Gdańsk,49%,51%,8,4,7,3,1,1,3,3,1,3,3,4,13,16,2,4,124,115,54,46,,,,,,,3,0
79,2017-2018,28,16.03.2018 18:00,Piast Gliwice,Zagłębie Lubin,63%,37%,6,6,3,3,3,3,3,2,4,4,3,3,13,12,2,1,159,115,98,45,,,,,,,0,0
80,2017-2018,27,12.03.2018 18:00,Arka Gdynia,Bruk-Bet T.,46%,54%,14,17,9,3,5,14,6,2,2,5,3,5,11,15,2,2,123,94,93,60,,,,,,,4,0
81,2017-2018,27,11.03.2018 18:00,Lechia Gdańsk,Legia Warszawa,48%,52%,13,15,6,9,7,6,4,8,4,3,6,5,16,15,3,3,89,74,58,43,,,,,,,1,3
82,2017-2018,27,11.03.2018 15:30,Lech Poznań,Jagiellonia Białystok,46%,54%,24,10,10,3,14,7,11,3,4,0,2,5,10,14,1,3,71,72,75,45,,,,,,,5,1
83,2017-2018,27,10.03.2018 20:30,Wisła Płock,Korona Kielce,42%,58%,8,15,4,1,4,14,4,4,0,2,1,2,15,14,4,0,99,125,52,73,,,,,,,2,0
84,2017-2018,27,10.03.2018 18:00,Pogoń Szczecin,Cracovia,76%,24%,11,11,4,7,7,4,12,3,0,1,4,4,22,17,4,2,95,66,67,36,,,,,,,0,3
85,2017-2018,27,10.03.2018 15:30,Sandecja Nowy Sącz,Piast Gliwice,49%,51%,5,10,2,4,3,6,7,1,1,1,1,2,19,14,7,4,106,108,48,40,1,0,,,,,0,3
86,2017-2018,27,09.03.2018 20:30,Wisła Kraków,Śląsk Wrocław,59%,41%,10,11,6,8,4,3,5,9,2,4,7,3,14,17,3,2,99,125,52,73,,,,,,,3,1
87,2017-2018,27,09.03.2018 18:00,Górnik Zabrze,Zagłębie Lubin,43%,57%,10,8,3,2,7,6,5,2,3,1,0,1,17,15,0,4,68,87,62,84,0,1,,,,,2,2
88,2017-2018,26,05.03.2018 18:00,Jagiellonia Białystok,Wisła Kraków,53%,47%,8,6,3,2,5,4,9,2,0,1,2,1,14,14,3,2,157,179,86,74,,,,,,,2,0
89,2017-2018,26,04.03.2018 18:00,Legia Warszawa,Lech Poznań,58%,42%,12,12,5,7,7,5,3,8,1,6,6,3,19,18,4,2,106,110,48,64,,,,,,,2,1
90,2017-2018,26,04.03.2018 15:30,Cracovia,Arka Gdynia,50%,50%,11,7,6,4,5,3,8,7,1,2,3,4,10,20,1,1,93,90,56,44,,,,,,,2,1
91,2017-2018,26,03.03.2018 20:30,Piast Gliwice,Górnik Zabrze,50%,50%,8,8,2,2,6,6,6,4,2,2,2,2,15,13,1,2,88,79,62,51,,,,,,,0,3
92,2017-2018,26,03.03.2018 18:00,Korona Kielce,Pogoń Szczecin,52%,48%,9,6,3,4,6,2,7,2,3,3,4,3,23,16,4,2,121,118,51,32,,,,,,,0,0
93,2017-2018,26,03.03.2018 15:30,Śląsk Wrocław,Sandecja Nowy Sącz,50%,50%,11,11,3,2,8,9,5,5,3,2,2,3,22,21,4,6,102,97,69,56,,,,,,,0,0
94,2017-2018,26,02.03.2018 20:30,Zagłębie Lubin,Lechia Gdańsk,51%,49%,9,7,2,1,7,6,6,3,3,2,1,2,9,10,3,1,85,92,55,55,,,,,,,0,0
95,2017-2018,26,02.03.2018 18:00,Bruk-Bet T.,Wisła Płock,50%,50%,4,4,3,1,1,3,2,4,0,0,1,2,9,8,2,3,105,103,46,61,,,,,,,1,2
96,2017-2018,25,28.02.2018 20:30,Arka Gdynia,Piast Gliwice,57%,43%,8,11,1,5,7,6,4,2,2,1,5,1,14,20,3,3,97,86,76,60,,,44,29,22,15,0,0
97,2017-2018,25,28.02.2018 20:30,Lech Poznań,Śląsk Wrocław,57%,43%,16,10,8,5,8,5,8,3,1,2,4,6,18,15,3,1,111,82,69,42,,,23,0,17,21,2,1
