,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
266,2017-2018, 4,06.08.2017 15:30,Jagiellonia Białystok,Sandecja Nowy Sącz,60%,40%,14,10,4,4,10,6,6,2,2,2,1,3,15,12,2,0,0,0,0,0,,,,,,,1,3
267,2017-2018, 4,05.08.2017 20:30,Bruk-Bet T.,Legia Warszawa,40%,60%,10,9,4,2,6,7,3,5,1,3,2,3,17,7,3,2,0,0,0,0,,,,,,,1,0
268,2017-2018, 4,05.08.2017 18:00,Zagłębie Lubin,Pogoń Szczecin,44%,56%,18,8,12,3,6,5,6,6,3,0,3,9,12,14,2,2,0,0,0,0,,,,,,,3,0
269,2017-2018, 4,05.08.2017 15:30,Lechia Gdańsk,Górnik Zabrze,65%,35%,8,11,3,4,5,7,5,7,2,2,3,2,15,23,3,3,0,0,0,0,,,,,,,1,1
270,2017-2018, 4,04.08.2017 20:30,Wisła Płock,Wisła Kraków,58%,42%,14,8,3,4,11,4,4,9,0,1,3,3,12,13,0,2,0,0,0,0,,,,,,,0,1
271,2017-2018, 4,04.08.2017 18:00,Piast Gliwice,Śląsk Wrocław,58%,42%,19,7,7,1,12,6,4,4,2,1,0,6,18,16,2,3,0,0,0,0,,,,,,,1,1
272,2017-2018, 3,31.07.2017 18:00,Korona Kielce,Cracovia,56%,44%,11,5,6,3,5,2,10,6,0,1,1,2,14,17,1,2,119,104,70,68,,,23,13,18,14,4,2
273,2017-2018, 3,30.07.2017 18:00,Lech Poznań,Piast Gliwice,56%,44%,18,5,14,4,4,1,12,2,0,0,3,9,12,7,0,1,,,,,,,25,21,7,12,5,1
274,2017-2018, 3,30.07.2017 15:30,Arka Gdynia,Wisła Płock,56%,44%,9,4,2,1,7,3,8,4,1,0,0,1,21,10,4,2,,,,,,,31,24,10,22,1,1
275,2017-2018, 3,30.07.2017 15:30,Pogoń Szczecin,Jagiellonia Białystok,49%,51%,8,5,3,2,5,3,4,5,3,1,1,3,11,11,2,2,,,,,0,1,16,27,12,14,0,1
276,2017-2018, 3,29.07.2017 20:30,Górnik Zabrze,Wisła Kraków,46%,54%,10,13,4,4,6,9,3,6,0,3,2,1,12,19,0,4,,,,,,,23,21,22,12,3,2
277,2017-2018, 3,29.07.2017 18:00,Legia Warszawa,Sandecja Nowy Sącz,66%,34%,18,2,8,1,10,1,8,1,2,2,1,6,8,18,,,54,31,41,11,0,1,39,19,20,10,2,0
278,2017-2018, 3,28.07.2017 20:30,Śląsk Wrocław,Lechia Gdańsk,48%,52%,14,8,7,3,7,5,3,5,0,2,1,4,15,12,3,3,97,108,44,57,,,17,18,14,15,3,2
279,2017-2018, 3,28.07.2017 18:00,Bruk-Bet T.,Zagłębie Lubin,47%,53%,5,5,3,2,2,3,3,4,1,1,1,2,20,15,2,1,129,135,48,54,,,30,26,16,21,1,1
280,2017-2018, 2,24.07.2017 18:00,Zagłębie Lubin,Śląsk Wrocław,51%,49%,5,8,3,3,2,5,5,5,2,3,3,2,16,16,4,1,110,148,66,103,1,0,,,,,1,0
281,2017-2018, 2,23.07.2017 18:00,Jagiellonia Białystok,Górnik Zabrze,55%,45%,11,8,8,6,3,2,8,3,4,1,5,6,16,24,1,6,82,69,70,41,0,2,22,27,23,19,2,1
282,2017-2018, 2,23.07.2017 15:30,Wisła Płock,Lech Poznań,44%,56%,6,5,4,1,2,4,2,7,0,2,1,3,19,9,4,1,98,91,34,63,0,1,24,30,9,18,1,0
283,2017-2018, 2,22.07.2017 20:30,Legia Warszawa,Korona Kielce,50%,50%,11,13,6,6,5,7,9,7,2,2,5,5,12,12,0,2,78,73,72,54,,,28,28,14,13,1,1
284,2017-2018, 2,22.07.2017 18:00,Lechia Gdańsk,Cracovia,54%,46%,12,5,5,3,7,2,9,5,3,3,2,5,15,19,1,5,97,65,76,51,,,50,23,24,17,0,1
285,2017-2018, 2,22.07.2017 15:30,Piast Gliwice,Pogoń Szczecin,54%,46%,7,8,2,5,5,3,2,5,0,0,3,1,8,17,,,99,71,55,45,,,21,26,19,8,1,2
286,2017-2018, 2,21.07.2017 20:30,Wisła Kraków,Bruk-Bet T.,52%,48%,10,11,5,5,5,6,5,2,1,1,5,4,16,17,7,4,123,87,69,54,,,27,20,18,16,1,0
287,2017-2018, 2,21.07.2017 18:00,Sandecja Nowy Sącz,Arka Gdynia,48%,52%,6,7,4,5,2,2,4,3,1,0,5,4,11,15,1,0,103,111,71,68,,,34,32,0,12,0,0
288,2017-2018, 1,17.07.2017 18:00,Korona Kielce,Zagłębie Lubin,49%,51%,19,10,8,6,11,4,4,0,0,3,5,8,14,17,1,3,125,105,96,64,,,34,37,20,13,0,1
289,2017-2018, 1,16.07.2017 18:00,Lech Poznań,Sandecja Nowy Sącz,49%,51%,14,11,8,7,6,4,8,4,3,2,7,8,15,16,1,2,132,85,77,43,,,0,19,18,18,0,0
290,2017-2018, 1,16.07.2017 15:30,Arka Gdynia,Śląsk Wrocław,48%,52%,12,12,6,3,6,9,5,9,0,1,3,4,19,16,2,2,86,94,51,52,,,22,33,17,19,2,0
291,2017-2018, 1,16.07.2017 15:30,Bruk-Bet T.,Jagiellonia Białystok,53%,47%,4,6,1,2,3,4,6,2,4,0,1,1,11,8,0,1,115,103,75,48,,,37,20,9,15,0,1
292,2017-2018, 1,15.07.2017 20:30,Górnik Zabrze,Legia Warszawa,46%,54%,16,10,6,7,10,3,5,11,4,2,6,3,24,11,2,2,91,102,56,97,,,,,,,3,1
293,2017-2018, 1,15.07.2017 18:00,Cracovia,Piast Gliwice,45%,55%,6,12,1,3,5,9,2,3,2,0,2,0,14,11,3,3,62,88,38,57,,,,,,,1,1
294,2017-2018, 1,14.07.2017 20:30,Pogoń Szczecin,Wisła Kraków,46%,54%,7,6,4,3,3,3,3,6,1,0,1,3,21,20,1,2,119,123,47,55,,,,,,,1,2
295,2017-2018, 1,14.07.2017 18:00,Wisła Płock,Lechia Gdańsk,48%,52%,8,16,3,7,5,9,3,4,0,0,5,3,10,12,1,2,113,138,51,68,1,0,,,,,0,2
