,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
42,2016-2017,32,07.05.2017 15:30,Bruk-Bet T.,Lech Poznań,50%,50%,8,12,0,6,8,6,4,12,2,1,3,0,12,9,,,1,0,,,,,,,0,3
43,2016-2017,32,06.05.2017 20:30,Wisła Kraków,Lechia Gdańsk,43%,57%,6,12,3,5,3,7,4,3,2,3,4,3,19,10,1,0,5,3,,,,,,,0,1
44,2016-2017,32,06.05.2017 18:00,Górnik Łęczna,Wisła Płock,61%,39%,22,8,8,5,14,3,12,2,3,1,2,6,16,16,,,4,2,,,,,,,2,3
45,2016-2017,32,06.05.2017 15:30,Piast Gliwice,Śląsk Wrocław,53%,47%,20,16,8,4,12,12,3,7,2,0,4,6,14,19,,,0,3,,,,,,,2,0
46,2016-2017,32,05.05.2017 20:30,Korona Kielce,Jagiellonia Białystok,56%,44%,14,9,4,3,10,6,10,5,2,1,2,3,11,19,,,1,2,,,,,,,1,1
47,2016-2017,32,05.05.2017 18:00,Ruch Chorzów,Zagłębie Lubin,44%,56%,19,12,10,3,9,9,5,8,0,5,2,9,16,18,,,1,2,,,,,,,1,1
48,2016-2017,31,01.05.2017 18:00,Zagłębie Lubin,Cracovia,58%,42%,16,10,3,2,13,8,8,0,2,1,0,1,17,14,,,0,1,,,,,,,2,2
49,2016-2017,31,30.04.2017 18:00,Legia Warszawa,Wisła Kraków,60%,40%,22,11,5,4,17,7,9,4,1,2,3,4,18,10,,,1,0,,,,,,,1,1
50,2016-2017,31,30.04.2017 15:30,Jagiellonia Białystok,Pogoń Szczecin,42%,58%,14,14,5,1,9,13,9,6,1,2,1,4,15,11,,,3,6,,,,,,,1,0
51,2016-2017,31,29.04.2017 20:30,Lechia Gdańsk,Bruk-Bet T.,56%,44%,13,6,5,4,8,2,4,3,1,3,4,3,11,10,,,2,2,0,0,,,,,2,0
52,2016-2017,31,29.04.2017 18:00,Śląsk Wrocław,Górnik Łęczna,58%,42%,20,14,3,6,17,8,8,3,2,0,4,3,14,16,,,0,2,,,,,,,0,2
53,2016-2017,31,29.04.2017 15:30,Wisła Płock,Ruch Chorzów,50%,50%,16,11,4,2,12,9,4,3,2,0,1,3,9,13,,,1,2,,,,,,,1,1
54,2016-2017,31,28.04.2017 20:30,Lech Poznań,Korona Kielce,47%,53%,5,19,3,7,2,12,3,7,2,1,5,0,13,16,,,2,4,,,,,,,3,2
55,2016-2017,31,28.04.2017 18:00,Arka Gdynia,Piast Gliwice,38%,62%,10,16,5,4,5,12,3,5,2,1,3,4,20,21,0,1,4,5,,,,,,,1,1
56,2016-2017,30,22.04.2017 18:00,Arka Gdynia,Wisła Płock,50%,50%,8,10,2,6,6,4,6,8,0,0,5,1,23,19,,,1,1,,,,,,,1,1
57,2016-2017,30,22.04.2017 18:00,Cracovia,Legia Warszawa,49%,51%,18,11,5,4,13,7,7,5,1,5,2,4,13,12,,,2,1,,,,,,,1,2
58,2016-2017,30,22.04.2017 18:00,Górnik Łęczna,Wisła Kraków,47%,53%,14,4,6,3,8,1,3,5,0,1,2,3,13,12,,,0,1,,,,,,,3,1
59,2016-2017,30,22.04.2017 18:00,Korona Kielce,Bruk-Bet T.,53%,47%,15,12,4,3,11,9,4,3,3,4,2,4,16,11,,,3,3,,,,,,,0,1
60,2016-2017,30,22.04.2017 18:00,Lech Poznań,Ruch Chorzów,60%,40%,14,10,6,2,8,8,3,5,2,0,2,3,6,2,,,,,,,,,,,3,0
61,2016-2017,30,22.04.2017 18:00,Piast Gliwice,Jagiellonia Białystok,62%,38%,16,9,5,3,11,6,7,4,2,1,2,5,12,9,,,1,1,,,,,,,0,1
62,2016-2017,30,22.04.2017 18:00,Pogoń Szczecin,Lechia Gdańsk,43%,57%,14,8,8,2,6,6,7,6,4,4,1,5,18,17,,,3,3,,,,,,,3,1
63,2016-2017,30,22.04.2017 18:00,Zagłębie Lubin,Śląsk Wrocław,56%,44%,19,13,7,3,12,10,2,4,0,0,2,6,11,15,,,1,4,,,,,,,1,1
64,2016-2017,29,17.04.2017 18:00,Lechia Gdańsk,Arka Gdynia,65%,35%,16,8,7,2,9,6,6,5,2,1,1,5,17,25,,,2,2,,,,,,,2,1
65,2016-2017,29,17.04.2017 18:00,Wisła Kraków,Zagłębie Lubin,51%,49%,19,12,4,2,15,10,6,6,1,4,2,3,10,8,,,3,1,,,,,,,1,0
66,2016-2017,29,17.04.2017 15:30,Bruk-Bet T.,Piast Gliwice,42%,58%,11,9,5,3,6,6,6,4,1,0,3,4,19,20,,,2,1,,,,,,,1,0
67,2016-2017,29,17.04.2017 15:30,Legia Warszawa,Korona Kielce,56%,44%,13,16,1,5,12,11,12,6,0,5,5,1,9,14,,,2,4,,,,,,,0,0
68,2016-2017,29,15.04.2017 20:30,Wisła Płock,Lech Poznań,47%,53%,10,15,3,6,7,9,3,5,0,1,3,3,17,16,,,1,0,,,,,,,0,3
69,2016-2017,29,15.04.2017 18:00,Jagiellonia Białystok,Cracovia,50%,50%,13,8,4,3,9,5,5,3,1,2,3,4,11,12,,,3,2,,,,,,,0,0
70,2016-2017,29,15.04.2017 15:30,Ruch Chorzów,Pogoń Szczecin,56%,44%,12,13,7,7,5,6,4,4,1,4,5,6,17,13,,,2,2,,,,,,,1,2
71,2016-2017,29,15.04.2017 15:30,Śląsk Wrocław,Górnik Łęczna,46%,54%,18,13,8,6,10,7,4,1,0,2,4,6,20,14,,,2,2,,,,,,,2,2
72,2016-2017,28,10.04.2017 18:00,Korona Kielce,Ruch Chorzów,58%,42%,24,8,8,1,16,7,13,2,3,4,1,7,17,10,,,2,2,,,,,,,1,0
73,2016-2017,28,09.04.2017 18:00,Lech Poznań,Legia Warszawa,50%,50%,12,10,3,4,9,6,7,6,3,3,2,2,15,16,,,1,4,,,,,,,1,2
74,2016-2017,28,09.04.2017 15:30,Piast Gliwice,Lechia Gdańsk,42%,58%,9,19,2,6,7,13,2,8,6,1,5,1,18,17,,,2,2,,,,,,,1,1
75,2016-2017,28,08.04.2017 20:30,Bruk-Bet T.,Wisła Kraków,46%,54%,8,12,4,4,4,8,4,3,1,1,1,2,23,10,,,1,3,,,,,,,2,3
76,2016-2017,28,08.04.2017 18:00,Pogoń Szczecin,Arka Gdynia,54%,46%,17,10,8,3,9,7,5,4,1,2,2,3,21,20,,,2,2,,,,,,,5,1
77,2016-2017,28,08.04.2017 15:30,Górnik Łęczna,Wisła Płock,47%,53%,7,9,3,4,4,5,2,6,0,0,1,1,20,21,,,1,3,,,,,,,2,3
78,2016-2017,28,07.04.2017 20:30,Zagłębie Lubin,Jagiellonia Białystok,54%,46%,15,20,7,6,8,14,2,5,4,1,2,4,11,24,,,3,1,,,,,,,3,4
79,2016-2017,28,07.04.2017 18:00,Cracovia,Śląsk Wrocław,48%,52%,31,11,9,3,13,4,5,4,0,1,3,8,14,15,,,2,4,,,9,4,,,1,0
80,2016-2017,27,03.04.2017 18:00,Ruch Chorzów,Piast Gliwice,56%,44%,10,11,0,1,10,10,5,4,,,1,0,,,,,0,2,29,20,,,13,12,0,0
81,2016-2017,27,02.04.2017 18:00,Lechia Gdańsk,Zagłębie Lubin,56%,44%,14,8,4,4,10,4,9,6,2,5,4,3,11,11,,,1,2,,,,,,,1,0
82,2016-2017,27,02.04.2017 15:30,Jagiellonia Białystok,Bruk-Bet T.,51%,49%,13,10,4,4,9,6,4,2,0,0,4,3,11,16,,,5,2,,,,,,,1,0
83,2016-2017,27,01.04.2017 20:30,Legia Warszawa,Pogoń Szczecin,55%,45%,16,15,4,4,12,11,18,8,5,3,4,2,8,12,,,1,0,,,,,,,2,0
84,2016-2017,27,01.04.2017 18:00,Wisła Płock,Cracovia,46%,54%,9,14,5,7,4,7,4,3,5,1,6,1,17,15,,,0,1,,,,,,,4,1
85,2016-2017,27,01.04.2017 15:30,Arka Gdynia,Górnik Łęczna,56%,44%,17,9,4,7,13,2,8,0,0,1,3,4,18,15,0,1,4,5,,,,,,,2,4
86,2016-2017,27,31.03.2017 20:30,Wisła Kraków,Lech Poznań,50%,50%,11,13,0,3,11,10,6,9,0,1,3,0,15,13,,,0,1,,,,,,,0,0
87,2016-2017,27,31.03.2017 18:00,Śląsk Wrocław,Korona Kielce,53%,47%,19,11,10,4,9,7,6,7,2,1,4,7,18,19,,,1,3,,,,,,,3,0
88,2016-2017,26,19.03.2017 18:00,Lechia Gdańsk,Legia Warszawa,55%,45%,11,8,4,5,7,3,5,10,1,3,3,3,21,18,,,3,2,,,,,,,1,2
89,2016-2017,26,19.03.2017 15:30,Korona Kielce,Cracovia,56%,44%,27,4,5,0,22,4,9,2,3,2,0,2,25,11,0,1,3,2,,,,,,,3,0
90,2016-2017,26,19.03.2017 15:30,Lech Poznań,Górnik Łęczna,54%,46%,15,9,4,2,11,7,5,5,0,2,2,4,9,11,,,3,0,,,,,,,0,0
91,2016-2017,26,18.03.2017 20:30,Pogoń Szczecin,Jagiellonia Białystok,65%,35%,15,11,4,2,11,9,5,2,2,1,2,4,12,15,0,1,3,2,,,,,,,0,0
92,2016-2017,26,18.03.2017 18:00,Zagłębie Lubin,Ruch Chorzów,55%,45%,24,6,5,2,19,4,11,3,5,0,1,5,8,8,,,0,1,,,,,,,0,1
93,2016-2017,26,18.03.2017 15:30,Piast Gliwice,Arka Gdynia,57%,43%,18,10,5,3,13,7,7,0,1,1,1,2,17,16,0,1,2,4,,,,,,,3,2
94,2016-2017,26,17.03.2017 20:30,Wisła Kraków,Wisła Płock,55%,45%,17,17,6,9,11,8,8,4,1,1,7,3,18,16,,,6,2,,,,,,,3,2
95,2016-2017,26,17.03.2017 18:00,Bruk-Bet T.,Śląsk Wrocław,47%,53%,6,18,2,5,4,13,2,6,2,1,3,1,11,22,,,1,2,,,,,,,1,2
