,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Skuteczność podań_home,Skuteczność podań_away,goals_home,goals_away
217,2021-2022,11,16.10.2021 15:00,Bruk-Bet T.,Lechia Gdańsk,42%,58%,13,13,2,4,11,9,,,,,4,13,4,6,,,2,2,4,7,0,1,,,270,456,,,66,71,47,82,,,,,0,2
218,2021-2022,11,16.10.2021 12:30,Górnik Łęczna,Piast Gliwice,50%,50%,9,9,4,2,5,7,,,,,7,4,3,0,,,1,3,16,10,3,2,,,412,460,,,74,66,42,37,,,,,1,1
219,2021-2022,10,03.10.2021 17:30,Lechia Gdańsk,Legia Warszawa,58%,42%,21,10,9,5,12,5,,,,,7,4,0,2,,,4,6,24,12,3,3,,,401,304,,,100,82,80,59,,,,,3,1
220,2021-2022,10,03.10.2021 15:00,Pogoń Szczecin,Górnik Łęczna,59%,41%,21,6,10,3,11,3,,,,,9,1,3,3,,,2,6,10,13,,,,,424,309,,,81,66,93,39,,,,,4,1
221,2021-2022,10,03.10.2021 12:30,Raków Częstochowa,Warta Poznań,58%,42%,14,6,6,1,8,5,,,,,4,2,2,3,,,1,3,10,12,0,1,,,411,298,,,96,59,82,56,,,,,3,0
222,2021-2022,10,02.10.2021 20:00,Górnik Zabrze,Wisła Płock,51%,49%,22,9,11,3,11,6,,,,,2,4,1,1,,,1,7,13,14,3,3,,,388,357,,,88,105,58,72,,,,,4,2
223,2021-2022,10,02.10.2021 17:30,Lech Poznań,Śląsk Wrocław,57%,43%,15,8,9,1,6,7,,,,,1,5,3,0,,,1,5,9,8,0,1,,,469,336,,,113,75,58,44,,,,,4,0
224,2021-2022,10,02.10.2021 15:00,Cracovia,Stal Mielec,56%,44%,11,8,2,6,9,2,,,,,6,3,5,0,,,3,1,16,14,2,3,,,391,288,,,85,89,76,47,,,,,3,3
225,2021-2022,10,02.10.2021 12:30,Radomiak Radom,Bruk-Bet T.,57%,43%,27,8,8,2,19,6,,,,,11,3,6,0,,,1,7,8,5,2,3,,,361,306,,,103,88,93,45,,,,,1,1
226,2021-2022,10,01.10.2021 20:30,Piast Gliwice,Wisła Kraków,36%,64%,8,13,3,4,5,9,,,,,3,9,3,3,,,4,2,9,12,1,4,,,222,500,,,72,114,52,97,,,,,1,0
227,2021-2022,10,01.10.2021 18:00,Zagłębie Lubin,Jagiellonia Białystok,65%,35%,14,6,2,2,12,4,,,,,7,3,1,1,,,1,2,13,12,1,2,,,552,260,,,111,66,70,40,,,,,0,1
228,2021-2022, 4,29.09.2021 17:00,Raków Częstochowa,Radomiak Radom,59%,41%,18,14,6,3,12,11,,,,,5,6,1,0,,,1,4,12,13,2,3,,,376,259,,,86,60,67,46,,,,,2,2
229,2021-2022, 9,27.09.2021 18:00,Piast Gliwice,Cracovia,58%,42%,4,12,2,8,2,4,,,,,5,1,0,0,,,4,0,13,16,0,1,,,495,390,,,120,80,89,52,,,,,2,4
230,2021-2022, 9,26.09.2021 17:30,Wisła Kraków,Pogoń Szczecin,53%,47%,8,14,2,3,6,11,,,,,3,6,4,5,,,2,2,10,10,2,2,,,514,490,,,90,93,74,80,,,,,0,1
231,2021-2022, 9,26.09.2021 15:00,Śląsk Wrocław,Wisła Płock,51%,49%,15,12,3,4,12,8,,,,,2,3,3,1,,,3,0,10,12,2,3,,,303,358,,,92,108,63,64,,,,,3,1
232,2021-2022, 9,26.09.2021 12:30,Bruk-Bet T.,Górnik Zabrze,52%,48%,10,20,4,5,6,15,,,,,5,6,1,2,,,4,1,5,12,1,3,,,321,302,,,95,78,69,66,,,,,3,1
233,2021-2022, 9,25.09.2021 20:00,Legia Warszawa,Raków Częstochowa,61%,39%,15,11,5,5,10,6,,,,,4,7,0,0,,,2,3,19,12,5,2,,,510,253,,,98,71,75,60,,,,,2,3
234,2021-2022, 9,25.09.2021 17:30,Warta Poznań,Zagłębie Lubin,57%,43%,21,11,8,5,13,6,,,,,13,2,0,2,,,3,8,13,15,2,2,,,364,287,,,118,78,100,41,,,,,0,2
235,2021-2022, 9,25.09.2021 15:00,Stal Mielec,Radomiak Radom,35%,65%,8,21,6,5,2,16,,,,,3,11,0,2,,,5,5,13,14,1,3,,,235,457,,,64,111,59,112,,,,,1,0
236,2021-2022, 9,24.09.2021 20:30,Jagiellonia Białystok,Lech Poznań,36%,64%,8,15,2,3,6,12,,,,,2,8,2,2,,,3,1,10,6,1,2,,,385,640,,,69,82,38,72,,,,,1,0
237,2021-2022, 9,24.09.2021 18:00,Górnik Łęczna,Lechia Gdańsk,31%,69%,6,25,4,9,2,16,,,,,5,6,0,0,,,5,4,15,15,3,2,,,320,648,,,74,112,44,84,1,0,,,0,4
238,2021-2022, 8,19.09.2021 17:30,Legia Warszawa,Górnik Łęczna,54%,46%,19,15,11,3,8,12,,,,,10,1,1,1,,,2,8,14,10,0,1,,,484,401,,,107,99,66,50,,,,,3,1
239,2021-2022, 8,19.09.2021 15:00,Górnik Zabrze,Warta Poznań,58%,42%,18,8,4,2,14,6,,,,,7,2,1,1,,,2,3,9,7,1,1,,,491,373,,,136,105,92,60,,,,,1,0
240,2021-2022, 8,19.09.2021 12:30,Stal Mielec,Raków Częstochowa,57%,43%,11,15,1,8,10,7,,,,,9,9,1,2,,,5,1,7,16,4,5,,,442,269,,,70,75,52,66,0,1,,,0,3
241,2021-2022, 8,18.09.2021 20:00,Lechia Gdańsk,Piast Gliwice,53%,47%,11,10,7,1,4,9,,,,,7,3,3,2,,,1,6,26,5,1,0,,,436,415,,,104,117,62,76,,,,,1,0
242,2021-2022, 8,18.09.2021 17:30,Radomiak Radom,Śląsk Wrocław,55%,45%,20,14,4,4,16,10,,,,,11,2,2,2,,,3,3,12,23,2,3,,,344,289,,,109,86,75,39,,,,,1,1
243,2021-2022, 8,18.09.2021 15:00,Pogoń Szczecin,Cracovia,55%,45%,17,6,3,3,14,3,,,,,4,2,2,3,,,2,2,11,15,5,3,,,347,298,,,110,87,84,56,,,,,1,1
244,2021-2022, 8,18.09.2021 12:30,Wisła Płock,Jagiellonia Białystok,52%,48%,10,10,6,3,4,7,,,,,5,6,0,1,,,3,3,12,17,1,2,,,354,366,,,97,96,63,56,,,,,3,0
245,2021-2022, 8,17.09.2021 20:30,Lech Poznań,Wisła Kraków,49%,51%,20,10,11,0,9,10,,,,,3,5,2,4,,,0,6,9,13,2,6,,,331,341,,,85,98,55,69,,,,,5,0
246,2021-2022, 8,17.09.2021 18:00,Zagłębie Lubin,Bruk-Bet T.,42%,58%,19,18,5,8,14,10,,,,,5,6,1,1,,,7,3,18,13,4,0,,,303,445,,,93,99,74,89,,,,,2,1
247,2021-2022, 7,13.09.2021 20:30,Radomiak Radom,Pogoń Szczecin,55%,45%,20,10,5,5,15,5,,,,,8,2,2,0,,,4,4,18,14,3,1,,,325,304,,,111,93,74,50,,,,,1,1
248,2021-2022, 7,13.09.2021 18:00,Górnik Łęczna,Wisła Płock,55%,45%,17,9,6,2,11,7,,,,,5,6,2,1,,,0,3,17,18,3,2,,,433,315,,,115,107,61,52,,,,,3,2
249,2021-2022, 7,12.09.2021 17:30,Raków Częstochowa,Lech Poznań,42%,58%,15,14,7,6,8,8,,,,,2,5,0,0,,,4,5,12,15,3,3,,,296,463,,,96,100,57,51,,,,,2,2
250,2021-2022, 7,12.09.2021 15:00,Wisła Kraków,Lechia Gdańsk,64%,36%,18,12,7,4,11,8,,,,,14,1,2,0,,,2,5,7,14,4,4,,,414,221,,,96,64,113,46,1,0,,,2,2
251,2021-2022, 7,12.09.2021 12:30,Piast Gliwice,Zagłębie Lubin,52%,48%,15,14,5,5,10,9,,,,,6,9,1,1,,,4,5,12,12,2,3,,,412,372,,,83,79,67,64,,,,,0,1
252,2021-2022, 7,11.09.2021 20:00,Śląsk Wrocław,Legia Warszawa,43%,57%,15,9,4,3,11,6,,,,,5,10,5,0,,,3,3,23,6,3,6,,,348,485,,,98,130,71,93,,,,,1,0
253,2021-2022, 7,11.09.2021 17:30,Jagiellonia Białystok,Stal Mielec,58%,42%,13,9,5,2,8,7,,,,,3,2,4,1,,,1,4,22,7,3,3,,,456,332,,,145,85,82,41,,,,,1,1
254,2021-2022, 7,11.09.2021 15:00,Cracovia,Górnik Zabrze,57%,43%,15,9,6,3,9,6,,,,,10,1,1,1,,,1,4,9,18,3,3,,,418,323,,,83,100,78,64,,,,,2,2
255,2021-2022, 7,11.09.2021 12:30,Warta Poznań,Bruk-Bet T.,42%,58%,10,15,6,4,4,11,,,,,7,3,0,5,,,4,6,19,11,1,2,,,260,395,,,108,106,58,66,,,,,0,0
256,2021-2022, 6,29.08.2021 17:30,Wisła Kraków,Legia Warszawa,51%,49%,12,12,4,3,8,9,,,,,5,9,2,3,,,3,3,14,5,1,2,,,302,294,,,89,100,71,82,,,,,1,0
257,2021-2022, 6,29.08.2021 15:00,Zagłębie Lubin,Śląsk Wrocław,55%,45%,16,9,5,5,11,4,,,,,7,3,2,0,,,2,4,16,10,2,0,,,432,337,,,115,105,96,67,,,,,1,3
258,2021-2022, 6,29.08.2021 12:30,Wisła Płock,Raków Częstochowa,49%,51%,12,15,6,6,6,9,,,,,3,8,1,0,,,5,5,20,20,2,3,,,312,333,,,107,97,43,68,,,,,1,1
259,2021-2022, 6,28.08.2021 20:00,Górnik Zabrze,Piast Gliwice,46%,54%,10,10,2,5,8,5,,,,,8,4,1,2,,,4,2,13,8,3,2,,,324,441,,,97,110,74,83,,,,,0,1
260,2021-2022, 6,28.08.2021 17:30,Lech Poznań,Pogoń Szczecin,40%,60%,9,11,3,3,6,8,,,,,5,6,0,1,,,2,2,8,13,2,2,,,279,443,,,80,103,58,64,1,0,,,1,1
261,2021-2022, 6,28.08.2021 15:00,Lechia Gdańsk,Radomiak Radom,52%,48%,13,11,5,3,8,8,,,,,10,5,4,2,,,1,3,15,11,3,1,,,417,371,,,118,98,105,71,,,,,2,2
262,2021-2022, 6,28.08.2021 12:30,Bruk-Bet T.,Cracovia,62%,38%,9,11,6,2,3,9,,,,,4,5,1,2,,,0,5,17,19,2,3,,,398,233,,,84,74,80,72,,,,,1,2
263,2021-2022, 6,27.08.2021 20:30,Warta Poznań,Jagiellonia Białystok,44%,56%,10,21,2,5,8,16,,,,,2,6,1,3,,,4,1,9,10,0,1,,,364,494,,,100,95,36,74,,,,,1,1
264,2021-2022, 6,27.08.2021 18:00,Stal Mielec,Górnik Łęczna,43%,57%,6,14,3,3,3,11,,,,,4,10,3,3,,,3,1,16,18,2,3,,,320,417,,,79,105,74,87,1,0,,,2,0
265,2021-2022, 5,22.08.2021 17:30,Lech Poznań,Lechia Gdańsk,45%,55%,15,5,5,0,10,5,,,,,7,10,2,3,,,0,3,10,9,1,3,,,332,394,,,92,91,60,55,,,,,2,0
266,2021-2022, 5,22.08.2021 15:00,Piast Gliwice,Śląsk Wrocław,53%,47%,10,13,3,4,7,9,,,,,7,8,1,5,,,3,2,14,14,2,2,,,427,355,,,84,85,67,89,,,,,1,1
267,2021-2022, 5,21.08.2021 20:00,Górnik Łęczna,Wisła Kraków,38%,62%,9,19,1,10,8,9,,,,,0,5,1,4,,,7,1,9,15,1,2,,,296,617,,,92,117,46,85,,,,,1,3
268,2021-2022, 5,21.08.2021 17:30,Cracovia,Jagiellonia Białystok,40%,60%,11,16,5,6,6,10,,,,,5,7,5,2,,,5,3,12,13,3,4,,,241,410,,,75,113,78,97,,,,,2,1
269,2021-2022, 5,21.08.2021 15:00,Pogoń Szczecin,Stal Mielec,54%,46%,27,5,9,2,18,3,,,,,10,3,5,0,,,1,5,12,8,0,3,,,391,372,,,91,81,95,47,,,,,4,1
270,2021-2022, 5,20.08.2021 20:30,Radomiak Radom,Warta Poznań,48%,52%,12,8,4,1,8,7,,,,,7,7,1,3,,,1,3,14,20,0,2,,,276,282,,,85,87,74,68,,,,,1,0
271,2021-2022, 5,20.08.2021 18:00,Wisła Płock,Zagłębie Lubin,50%,50%,14,16,7,5,7,11,,,,,5,10,0,1,,,5,3,13,10,1,3,,,281,260,,,127,112,64,68,,,,,4,0
272,2021-2022, 4,16.08.2021 18:00,Jagiellonia Białystok,Górnik Zabrze,52%,48%,7,9,2,3,5,6,,,,,2,7,1,3,,,0,1,14,9,2,1,,,513,424,,,123,118,75,66,,,,,1,3
273,2021-2022, 4,15.08.2021 20:00,Zagłębie Lubin,Pogoń Szczecin,36%,64%,15,11,3,3,12,8,,,,,5,9,0,1,,,3,1,12,9,3,3,,,246,400,,,52,60,35,75,,,,,2,0
274,2021-2022, 4,15.08.2021 17:30,Śląsk Wrocław,Górnik Łęczna,56%,44%,12,6,2,1,10,5,,,,,8,6,1,1,,,1,2,15,13,2,2,,,473,339,,,95,89,106,53,,,,,0,0
275,2021-2022, 4,14.08.2021 20:00,Warta Poznań,Legia Warszawa,47%,53%,9,12,1,3,8,9,,,,,4,10,1,1,,,1,1,20,13,2,1,,,360,376,,,102,108,44,73,,,,,0,2
276,2021-2022, 4,14.08.2021 17:30,Lechia Gdańsk,Cracovia,45%,55%,11,10,4,3,7,7,,,,,3,3,2,2,,,3,1,19,11,3,2,,,315,414,,,81,87,50,53,,,,,3,0
277,2021-2022, 4,14.08.2021 15:00,Piast Gliwice,Wisła Płock,47%,53%,15,10,5,3,10,7,,,,,6,1,5,1,,,0,2,19,14,1,1,,,352,419,,,88,101,72,60,0,1,,,4,3
278,2021-2022, 4,13.08.2021 20:30,Stal Mielec,Wisła Kraków,44%,56%,11,17,6,5,5,12,,,,,8,4,2,4,,,4,4,10,21,3,2,,,304,465,,,102,109,82,96,,,,,2,1
279,2021-2022, 4,13.08.2021 18:00,Bruk-Bet T.,Lech Poznań,56%,44%,12,16,5,5,7,11,,,,,7,8,1,0,,,2,4,7,20,4,1,,,444,297,,,77,69,50,43,,,,,1,3
280,2021-2022, 3,09.08.2021 18:00,Wisła Płock,Radomiak Radom,55%,45%,11,10,4,3,7,7,,,,,8,3,2,1,,,3,3,13,17,1,4,,,384,306,,,106,111,68,56,,,,,1,0
281,2021-2022, 3,08.08.2021 20:00,Śląsk Wrocław,Lechia Gdańsk,43%,57%,20,20,8,8,12,12,,,,,6,8,5,1,,,7,7,14,17,1,2,,,279,393,,,93,101,73,93,,,,,1,1
282,2021-2022, 3,08.08.2021 17:30,Wisła Kraków,Raków Częstochowa,65%,35%,12,10,5,7,7,3,,,,,4,8,1,1,,,5,4,10,16,0,3,,,566,246,,,102,79,85,75,0,1,,,1,2
283,2021-2022, 3,08.08.2021 15:00,Pogoń Szczecin,Piast Gliwice,58%,42%,10,14,2,5,8,9,,,,,4,8,3,0,,,5,1,8,12,0,1,,,479,369,,,97,82,77,75,,,,,1,0
284,2021-2022, 3,07.08.2021 17:30,Górnik Zabrze,Stal Mielec,54%,46%,12,8,5,0,7,8,,,,,3,3,5,4,,,0,4,14,14,0,3,,,407,328,,,117,83,82,41,,,,,1,0
285,2021-2022, 3,07.08.2021 15:00,Jagiellonia Białystok,Bruk-Bet T.,42%,58%,9,8,4,2,5,6,,,,,0,4,4,0,,,2,3,16,17,2,1,,,371,515,,,98,123,45,76,,,,,1,0
286,2021-2022, 3,06.08.2021 20:30,Lech Poznań,Cracovia,51%,49%,16,4,5,0,11,4,,,,,4,1,2,2,,,0,3,16,9,2,1,,,329,336,,,96,93,69,45,,,,,2,0
287,2021-2022, 3,06.08.2021 18:00,Górnik Łęczna,Warta Poznań,56%,44%,10,13,4,6,6,7,,,,,1,6,1,1,,,2,4,19,16,2,1,,,398,337,,,85,98,40,55,,,,,0,4
288,2021-2022, 2,02.08.2021 18:00,Lechia Gdańsk,Wisła Płock,44%,56%,9,12,4,4,5,8,,,,,8,9,1,3,,,4,3,14,13,3,3,,,254,365,,,79,109,78,87,,,,,1,0
289,2021-2022, 2,01.08.2021 20:00,Jagiellonia Białystok,Raków Częstochowa,45%,55%,11,6,3,2,8,4,,,,,3,7,1,2,,,2,0,19,13,1,2,,,,,,,91,124,54,88,,,,,3,0
290,2021-2022, 2,01.08.2021 17:30,Cracovia,Śląsk Wrocław,60%,40%,17,13,7,5,10,8,,,,,12,6,1,2,,,3,6,15,17,2,4,,,439,243,,,91,72,85,37,0,2,,,1,2
291,2021-2022, 2,01.08.2021 15:00,Warta Poznań,Pogoń Szczecin,38%,62%,6,20,1,6,5,14,,,,,3,7,2,2,,,5,0,14,10,3,3,,,247,502,,,81,102,49,89,1,1,,,1,1
292,2021-2022, 2,31.07.2021 20:00,Radomiak Radom,Legia Warszawa,43%,57%,25,8,8,2,17,6,,,,,6,6,0,2,,,1,5,18,18,4,3,,,251,397,,,77,101,53,54,1,2,,,3,1
293,2021-2022, 2,31.07.2021 17:30,Bruk-Bet T.,Wisła Kraków,49%,51%,14,13,6,4,8,9,,,,,3,4,2,2,,,2,4,13,12,2,1,,,381,419,,,81,91,69,87,,,,,2,2
294,2021-2022, 2,31.07.2021 15:00,Stal Mielec,Piast Gliwice,55%,45%,16,9,6,3,10,6,,,,,9,2,2,3,,,1,6,10,18,,,,,450,371,,,85,73,60,34,,,,,0,2
295,2021-2022, 2,30.07.2021 20:30,Górnik Zabrze,Lech Poznań,41%,59%,6,13,5,9,1,4,,,,,2,12,1,4,,,6,4,13,10,2,1,,,284,465,,,84,105,50,107,0,1,,,1,3
296,2021-2022, 2,30.07.2021 18:00,Zagłębie Lubin,Górnik Łęczna,51%,49%,7,4,4,2,3,2,,,,,2,4,1,3,,,1,1,13,13,0,2,,,430,378,,,115,98,73,68,,,,,3,1
297,2021-2022, 1,26.07.2021 18:00,Wisła Kraków,Zagłębie Lubin,57%,43%,9,12,5,4,4,8,,,,,8,5,2,0,,,4,2,18,16,4,1,,,424,272,,,84,89,77,69,,,,,3,0
298,2021-2022, 1,25.07.2021 20:00,Pogoń Szczecin,Górnik Zabrze,55%,45%,8,5,4,1,4,4,,,,,6,5,2,0,,,1,2,11,13,1,1,,,533,376,,,90,76,87,49,,,,,2,0
299,2021-2022, 1,25.07.2021 17:30,Śląsk Wrocław,Warta Poznań,52%,48%,17,11,5,5,12,6,,,,,1,4,0,0,,,3,3,10,14,2,1,,,444,409,,,118,117,86,59,,,,,2,2
300,2021-2022, 1,25.07.2021 15:00,Piast Gliwice,Raków Częstochowa,54%,46%,12,16,7,9,5,7,,,,,4,6,1,1,,,6,5,14,17,2,2,,,415,313,,,109,73,77,56,,,,,2,3
301,2021-2022, 1,24.07.2021 20:00,Legia Warszawa,Wisła Płock,55%,45%,9,16,2,4,7,12,,,,,0,6,2,3,,,4,1,10,20,2,2,,,411,364,,,106,100,39,66,,,,,1,0
302,2021-2022, 1,24.07.2021 17:30,Jagiellonia Białystok,Lechia Gdańsk,52%,48%,19,12,5,4,14,8,,,,,5,9,1,1,,,3,4,12,11,2,1,,,406,381,,,79,72,49,64,,,,,1,1
303,2021-2022, 1,24.07.2021 15:00,Górnik Łęczna,Cracovia,48%,52%,11,18,2,7,9,11,,,,,7,7,0,1,,,6,1,13,10,3,3,,,313,384,,,92,80,59,70,,,,,1,1
304,2021-2022, 1,23.07.2021 20:30,Lech Poznań,Radomiak Radom,55%,45%,10,7,6,1,4,6,,,,,9,5,6,2,,,1,6,10,9,1,1,,,443,340,,,109,105,90,62,,,,,0,0
305,2021-2022, 1,23.07.2021 18:00,Bruk-Bet T.,Stal Mielec,52%,48%,10,4,3,3,7,1,,,,,1,2,3,0,,,2,2,11,16,2,2,,,472,413,,,70,62,45,39,,,,,1,1
