,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Skuteczność podań_home,Skuteczność podań_away,goals_home,goals_away
46,2021-2022,29,18.04.2022 17:30,Górnik Zabrze,Lechia Gdańsk,47%,53%,18,16,3,6,11,4,4,6,16,18,5,9,4,3,17,16,3,2,18,15,1,1,338,381,246,293,11,9,49,52,61,55,,,,,1,3
47,2021-2022,29,18.04.2022 15:00,Śląsk Wrocław,Wisła Kraków,44%,56%,18,10,8,2,6,6,4,2,11,10,3,1,1,2,20,22,1,7,9,9,0,2,440,569,342,470,22,22,47,48,39,39,,,,,1,1
48,2021-2022,29,18.04.2022 12:30,Cracovia,Zagłębie Lubin,42%,58%,20,14,5,2,6,4,9,8,12,10,5,8,1,1,13,28,2,4,11,15,3,3,339,456,229,368,18,14,52,59,53,68,,,,,1,0
49,2021-2022,29,16.04.2022 20:00,Wisła Płock,Lech Poznań,45%,55%,3,23,1,7,1,8,1,8,11,8,3,9,1,0,9,17,6,1,8,13,3,2,416,497,319,405,12,14,65,95,27,79,,,,,0,1
50,2021-2022,29,16.04.2022 17:30,Jagiellonia Białystok,Pogoń Szczecin,40%,60%,7,16,1,7,3,3,3,6,16,18,3,12,3,3,18,19,5,0,15,14,6,2,286,410,188,313,24,23,106,93,51,95,,,,,1,2
51,2021-2022,29,16.04.2022 15:00,Bruk-Bet T.,Raków Częstochowa,64%,36%,13,12,2,5,7,5,4,2,14,11,6,8,1,1,12,14,2,2,11,12,1,1,499,275,379,176,11,7,102,93,60,63,,,,,0,3
52,2021-2022,29,16.04.2022 12:30,Górnik Łęczna,Radomiak Radom,49%,51%,11,13,4,2,5,9,2,2,11,15,4,6,1,1,28,14,2,3,14,11,0,1,364,384,277,288,16,12,89,95,58,70,,,,,1,0
53,2021-2022,29,16.04.2022 12:30,Stal Mielec,Warta Poznań,64%,36%,12,9,2,2,5,4,5,3,29,25,4,0,3,7,28,18,1,2,22,24,3,2,562,323,451,235,16,15,105,91,53,36,,,,,0,1
54,2021-2022,28,11.04.2022 18:00,Radomiak Radom,Jagiellonia Białystok,53%,47%,8,17,3,4,1,9,4,4,13,12,2,7,2,0,26,30,2,1,10,15,0,2,368,326,260,229,26,21,96,109,46,72,,,,,2,2
55,2021-2022,28,10.04.2022 17:30,Raków Częstochowa,Śląsk Wrocław,57%,43%,14,14,4,7,9,3,1,4,18,10,9,6,1,3,20,17,6,3,12,20,3,6,415,321,320,230,10,16,101,75,89,59,,,,,1,1
56,2021-2022,28,10.04.2022 15:00,Wisła Kraków,Górnik Zabrze,48%,52%,17,12,9,4,4,6,4,2,13,19,5,8,1,2,27,19,3,5,19,13,3,1,358,394,266,299,19,17,86,90,70,76,,,,,4,1
57,2021-2022,28,10.04.2022 12:30,Warta Poznań,Cracovia,45%,55%,11,11,2,2,5,6,4,3,16,21,4,4,6,2,23,26,2,1,17,15,4,0,358,457,268,336,14,27,88,93,57,44,,,,,1,0
58,2021-2022,28,09.04.2022 20:00,Lechia Gdańsk,Bruk-Bet T.,51%,49%,17,9,6,0,9,6,2,3,15,14,5,7,2,5,17,21,0,4,13,10,0,3,445,408,341,297,9,13,94,96,70,83,,,,,2,0
59,2021-2022,28,09.04.2022 17:30,Lech Poznań,Legia Warszawa,57%,43%,14,3,3,1,5,1,6,1,10,16,6,2,0,1,18,18,0,2,16,11,1,3,506,383,405,271,16,21,122,113,78,43,0,1,,,1,1
